Chr	Start	End	MedianPoint	Midpoint	Width	Feature_name	Name	Type	Direction	WatsonHpM	CrickHpM	TotalHpM	DCHpM	DCHpMpercent
1	101178	101405	101265	101291.5	228	YAL025C	MAK16	directional	-,-	47.59	75.16	122.76	1.85	1.51
1	105985	106164	106071	106074.5	180	YAL023C	PMT2	directional	-,-	73.45	55.72	129.17	4.9	3.79
1	108638	108918	108776	108778	281	YAL022C	FUN26	directional	-,-	273.01	236.18	509.2	28.93	5.68
1	110430	110636	110509	110533	207	YAL022C	FUN26	directional	-,-	82.04	59.07	141.11	2.54	1.8
1	113387	113626	113509	113506.5	240	YAL020C	ATS1	directional	-,-	158.17	188.93	347.1	8.97	2.58
1	113911	114030	113955	113970.5	120	YAL020C	ATS1	NA	NA	18.12	15.32	33.44	0.88	2.62
1	114592	114829	114729	114710.5	238	YAL020C	ATS1	divergent	-,+	104.72	141.75	246.48	5.62	2.28
1	119630	119860	119724	119745	231	YAL018C	null	divergent	-,+	90	77.6	167.6	3.48	2.08
1	124420	124776	124632	124598	357	ARS107	null	directional	+,+	72.71	70.91	143.62	2.33	1.62
1	128064	128262	128153	128163	199	YAL014C	SYN8	directional	-,-	74.68	51.08	125.76	1.05	0.83
1	129018	129420	129157	129219	403	YAL013W	DEP1	divergent	-,+	683.8	557.76	1241.56	67.8	5.46
1	129826	129937	129873	129881.5	112	YAL013W	DEP1	NA	NA	21.9	16.94	38.85	1.93	4.98
1	130464	130793	130649	130628.5	330	YAL013W	DEP1	directional	+,+	947.72	809.08	1756.8	94.92	5.4
1	131979	132219	132113	132099	241	YAL012W	CYS3	directional	+,+	161.87	149.83	311.71	6.21	1.99
1	135696	135827	135757	135761.5	132	YAL009W	SPO7	divergent	-,+	20.74	22.66	43.4	0.17	0.39
1	136429	136877	136773	136653	449	YAL008W	FUN14	directional	+,+	77.55	110.49	188.05	4.08	2.17
1	137616	137674	137648	137645	59	YAL008W	FUN14	convergent	+,-	6.31	8.77	15.07	0	0
1	138425	138663	138559	138544	239	YAL007C	ERP2	directional	-,-	142.65	122.11	264.76	8.52	3.22
1	139251	139721	139373	139486	471	YAL005C	SSA1	directional	-,-	143.7	209.36	353.05	16	4.53
1	141638	142098	141914	141868	461	YAL003W	EFB1	divergent	-,+	343.65	530.53	874.18	49.6	5.67
1	143366	143625	143517	143495.5	260	YAL002W	VPS8	directional	+,+	242.22	154.85	397.07	17.48	4.4
1	152029	152201	152096	152115	173	YAR002W	NUP60	divergent	-,+	47	43.87	90.86	0.35	0.39
1	154730	154947	154845	154838.5	218	YAR002C-A	ERP1	divergent	-,+	207.3	101.78	309.07	9.43	3.05
1	158658	158882	158768	158770	225	YAR007C	RFA1	divergent	-,+	173.58	174.5	348.09	7.61	2.19
1	168998	169265	169129	169131.5	268	YAR015W	ADE1	divergent	-,+	222.24	290.24	512.48	13.32	2.6
1	170733	170955	170844	170844	223	YAR018C	KIN3	NA	NA	62.18	76.25	138.44	1.5	1.08
1	171743	171949	171842	171846	207	YAR018C	KIN3	directional	-,-	52.91	63.66	116.57	0.64	0.55
1	175148	175327	175234	175237.5	180	YAR019C	CDC15	directional	-,-	67.96	51.42	119.39	3.28	2.75
1	176252	176368	176325	176310	117	YAR019W-A	null	directional	-,-	16.86	11.46	28.32	0.11	0.39
1	179731	179816	179768	179773.5	86	YAR023C	null	NA	NA	18.8	4.22	23.02	0.1	0.45
1	180117	180606	180336	180361.5	490	YAR023C	null	divergent	-,+	138.59	74.98	213.57	3.26	1.53
1	180972	181404	181133	181188	433	tS(AGA)A	null	divergent	-,+	115.25	162.85	278.1	4.96	1.78
1	182963	183092	183030	183027.5	130	YARWsigma1	null	divergent	-,+	31.13	31.07	62.2	0.05	0.08
1	184622	184843	184738	184732.5	222	YAR028W	null	directional	+,+	63.9	57.18	121.08	4.16	3.43
1	188791	188854	188824	188822.5	64	YAR033W	MST28	directional	+,+	15.89	15.99	31.87	0.11	0.36
1	189061	189127	189091	189094	67	YAR033W	MST28	directional	+,+	36.06	61.81	97.87	0.17	0.17
1	189708	191672	190390	190690	1965	YAR035W	YAT1	NA	NA	962.58	1150.76	2113.33	113.48	5.37
1	191949	192582	192421	192265.5	634	YAR035W	YAT1	convergent	+,-	364.1	576.64	940.74	31.36	3.33
1	198340	198886	198669	198613	547	YAR042W	SWH1	directional	+,+	131.1	143.4	274.49	17.48	6.37
1	202627	202851	202742	202739	225	YAR050W	FLO1	divergent	-,+	24.73	37.98	62.71	3.83	6.11
2	10520	10741	10630	10630.5	222	YBL107C	null	directional	-,-	82.58	123.47	206.05	2.71	1.32
2	17971	18160	18088	18065.5	190	YBL104C	null	directional	-,-	61.82	43.04	104.86	0.43	0.41
2	21340	21475	21424	21407.5	136	YBL104C	null	directional	-,-	23.02	35.82	58.84	0.26	0.44
2	23816	23954	23880	23885	139	YBL102W	SFT2	divergent	-,+	59.37	41.86	101.23	0.26	0.26
2	28368	29076	28789	28722	709	ARS230	null	directional_overlapping	+,+	298.61	198.78	497.4	19.73	3.97
2	29369	29448	29417	29408.5	80	YBLWdelta4	null	directional_overlapping	+,+	14.48	12.9	27.38	0.47	1.7
2	36579	36713	36652	36646	135	tF(GAA)B	null	directional_overlapping	+,+	36.39	40.16	76.55	1.36	1.78
2	38929	39100	39012	39014.5	172	YBL099W	ATP1	directional	+,+	48.37	36	84.37	0.96	1.14
2	40580	40749	40663	40664.5	170	YBL098W	BNA4	directional	+,+	77.3	36.32	113.62	1.66	1.46
2	43062	43224	43142	43143	163	YBL097W	MRX3	directional	+,+	32.71	17.97	50.67	0	0
2	45016	45494	45117	45255	479	YBL093C	ROX3	divergent	-,+	172.17	247.35	419.52	3.24	0.77
2	47168	47367	47262	47267.5	200	YBL091C	MAP2	directional	-,-	33.27	39.08	72.36	0.23	0.31
2	48615	48824	48729	48719.5	210	YBL090W	MRP21	divergent	-,+	105.11	112.84	217.95	2.4	1.1
2	49363	49586	49478	49474.5	224	YBL089W	AVT5	directional	+,+	100.01	122.02	222.04	7.48	3.37
2	60828	61013	60904	60920.5	186	YBL087C	RPL23A	directional	-,-	36.55	29	65.55	0.37	0.57
2	62672	62949	62845	62810.5	278	YBL086C	null	divergent	-,+	112.56	131.52	244.07	3.27	1.34
2	69522	69883	69670	69702.5	362	YBL082C	ALG3	directional	-,-	213.81	264.68	478.49	9.09	1.9
2	71105	71607	71435	71356	503	YBL082C	ALG3	divergent	-,+	736.16	800.16	1536.33	46.45	3.02
2	74710	75227	75026	74968.5	518	YBL080C	PET112	divergent	-,+	469.48	437.16	906.64	13.99	1.54
2	80833	80964	80909	80898.5	132	YBL078C	ATG8	directional	-,-	36.22	11.67	47.89	0.12	0.25
2	84315	84538	84414	84426.5	224	YBL075C	SSA3	directional	-,-	62.67	83.71	146.38	2.53	1.73
2	88088	88250	88177	88169	163	snR56	SNR56	directional	-,-	65.39	51.99	117.38	1.39	1.18
2	89682	89979	89877	89830.5	298	YBL071W-A	KTI11	divergent	-,+	114.61	110.03	224.63	8.01	3.57
2	90466	90643	90565	90554.5	178	YBL069W	AST1	directional	+,+	64.56	50.65	115.22	0.93	0.81
2	92197	92332	92269	92264.5	136	YBL068W	PRS4	directional	+,+	41.29	23.76	65.05	0.85	1.3
2	96171	96377	96261	96274	207	YBL066C	SEF1	directional	-,-	118.7	84.89	203.59	6.65	3.26
2	100166	100312	100213	100239	147	YBL064C	PRX1	directional	-,-	20.77	31.32	52.08	0.1	0.2
2	101226	101845	101477	101535.5	620	YBL063W	KIP1	divergent	-,+	90.86	107.82	198.68	1.91	0.96
2	107505	107918	107628	107711.5	414	YBL060W	YEL1	divergent	-,+	167.55	134.18	301.73	2.41	0.8
2	111330	111362	111354	111346	33	YBL058W	SHP1	directional	+,+	13.15	3.33	16.48	0	0
2	113483	113594	113524	113538.5	112	YBL057C	PTH2	divergent	-,+	15.69	16.46	32.15	0.05	0.16
2	116897	117400	117240	117148.5	504	YBL055C	null	divergent	-,+	377.19	184.95	562.13	8.26	1.47
2	122137	122350	122267	122243.5	214	YBL052C	SAS3	directional	-,-	64.14	114.33	178.47	2.45	1.37
2	124814	125071	124973	124942.5	258	YBL050W	SEC17	divergent	-,+	159.58	177.78	337.36	2.92	0.86
2	126090	126606	126450	126348	517	YBL050W	SEC17	directional	+,+	250.22	322.63	572.85	13.11	2.29
2	132185	132422	132328	132303.5	238	YBL046W	PSY4	divergent	-,+	94.32	83.49	177.81	0.83	0.47
2	135741	136468	136297	136104.5	728	YBL045C	COR1	divergent	-,+	241.96	130.95	372.92	8.75	2.35
2	137743	137792	137758	137767.5	50	YBL043W	ECM13	convergent	+,-	5.51	11.52	17.03	0	0
2	140477	141128	140776	140802.5	652	YBL041W	PRE7	divergent	-,+	178.5	132.58	311.08	5.84	1.88
2	142923	143220	143053	143071.5	298	YBL040C	ERD2	divergent	-,+	52.58	46.8	99.38	0.27	0.27
2	145819	146106	145956	145962.5	288	YBL038W	MRPL16	divergent	-,+	98.96	142.33	241.28	3.92	1.63
2	146914	147126	147017	147020	213	YBL038W	MRPL16	directional	+,+	87.87	96.3	184.17	0.95	0.52
2	151219	151478	151339	151348.5	260	YBL036C	null	directional	-,-	273.34	369.54	642.88	20.53	3.19
2	153708	153940	153812	153824	233	YBL034C	STU1	directional	-,-	88.54	111.61	200.14	2.22	1.11
2	158461	158675	158546	158568	215	YBL033C	RIB1	directional	-,-	70.35	51.55	121.9	0.77	0.63
2	159713	160126	159981	159919.5	414	YBL033C	RIB1	divergent	-,+	196.79	351.95	548.74	5.55	1.01
2	161483	161634	161551	161558.5	152	YBL031W	SHE1	directional	+,+	31.34	36.39	67.73	0.51	0.75
2	164160	164450	164301	164305	291	YBL029C-A	null	directional	-,-	35.06	39.86	74.93	1.31	1.75
2	164938	165097	165031	165017.5	160	YBL029C-A	null	divergent	-,+	22.24	20.01	42.24	0.1	0.24
2	165462	165950	165774	165706	489	YBL029W	null	divergent	-,+	108.08	136.55	244.63	8.07	3.3
2	167927	168053	167999	167990	127	YBL028C	null	divergent	-,+	22.01	23.49	45.5	0.05	0.11
2	170131	170582	170468	170356.5	452	ARS207	null	directional	+,+	123.37	165.97	289.34	4.04	1.4
2	171237	171457	171357	171347	221	YBL025W	RRN10	directional	+,+	133.45	81.62	215.07	2.57	1.2
2	172303	172489	172396	172396	187	YBL024W	NCL1	directional	+,+	55.61	85.02	140.63	1.47	1.04
2	177636	177830	177745	177733	195	YBL022C	PIM1	directional	-,-	61.82	59.5	121.32	0.66	0.54
2	181388	181611	181527	181499.5	224	YBL021C	HAP3	directional	-,-	30.56	54.13	84.68	1.36	1.61
2	182085	182324	182218	182204.5	240	YBL021C	HAP3	divergent	-,+	156.66	121.89	278.54	4	1.44
2	191809	192356	191921	192082.5	548	YBL016W	FUS3	divergent	-,+	96	130.32	226.32	1.31	0.58
2	193126	194038	193723	193582	913	YBL016W	FUS3	directional	+,+	271.58	397.45	669.03	19.17	2.87
2	195912	196280	196098	196096	369	YBL015W	ACH1	convergent	+,-	190.53	112.32	302.85	6.39	2.11
2	201869	202016	201939	201942.5	148	YBL013W	FMT1	divergent	-,+	30.88	46.32	77.21	0.55	0.71
2	202242	202478	202374	202360	237	YBL013W	FMT1	NA	NA	40.95	48.38	89.33	1.17	1.31
2	202859	203352	203182	203105.5	494	YBL013W	FMT1	NA	NA	62.59	73.15	135.74	2.19	1.61
2	206954	207186	207071	207070	233	YBL010C	null	divergent	-,+	121.78	119.76	241.54	3.77	1.56
2	209415	209571	209495	209493	157	YBL008W-A	null	NA	NA	32.38	33.22	65.59	0.95	1.45
2	216400	216822	216518	216611	423	YBL006C	LDB7	NA	NA	138.26	184.19	322.45	5.21	1.62
2	217105	217519	217206	217312	415	YBL005W	PDR3	divergent	-,+	317.64	782.53	1100.17	23	2.09
2	220761	220859	220785	220810	99	YBLWdelta8	null	directional_overlapping	+,+	13.37	18.74	32.11	0.08	0.25
2	227305	227482	227378	227393.5	178	tS(AGA)B	null	directional_overlapping	+,+	65.72	29.44	95.16	0.84	0.88
2	235981	236350	236216	236165.5	370	YBL002W	HTB2	divergent	-,+	148.47	114.82	263.29	6.3	2.39
2	241432	241653	241546	241542.5	222	YBR002C	RER2	directional	-,-	98.77	93.7	192.48	2.46	1.28
2	242566	242762	242661	242664	197	YBR002C	RER2	divergent	-,+	53.59	91.86	145.45	1.03	0.71
2	246664	246868	246756	246766	205	YBR005W	RCR1	directional	+,+	52.97	48.78	101.75	1.16	1.14
2	251021	251614	251425	251317.5	594	YBR007C	DSF2	directional	-,-	561.15	381.12	942.27	28.95	3.07
2	255897	256210	256081	256053.5	314	YBR010W	HHT1	divergent	-,+	39.52	50.05	89.56	1.51	1.69
2	258034	258289	258185	258161.5	256	YBR011C	IPP1	divergent_overlapping	-,+	222.36	114.62	336.98	2.78	0.82
2	269677	270165	270025	269921	489	YBR016W	null	divergent	-,+	95.97	97.14	193.1	2.42	1.25
2	281084	281182	281136	281133	99	YBR020W	GAL1	directional	+,+	19.52	28.09	47.61	0.51	1.07
2	288089	288669	288283	288379	581	YBR023C	CHS3	divergent	-,+	262.24	237.11	499.35	7.4	1.48
2	289170	289297	289232	289233.5	128	YBR024W	SCO2	divergent	-,+	22.74	17.97	40.7	0.2	0.48
2	292040	292483	292183	292261.5	444	YBR025C	OLA1	directional	-,-	149.24	128.6	277.84	2.36	0.85
2	296111	296272	296188	296191.5	162	YBR029C	CDS1	directional	-,-	47.6	40.24	87.84	0.1	0.12
2	297822	298213	297948	298017.5	392	YBR030W	RKM3	divergent	-,+	59.45	70.26	129.7	0.52	0.4
2	301324	301836	301602	301580	513	YBR031W	RPL4A	directional	+,+	691.53	637.13	1328.66	59.31	4.46
2	306024	306246	306137	306135	223	YBR035C	PDX3	directional	-,-	67.05	71.61	138.66	1.09	0.78
2	307084	307577	307423	307330.5	494	TLC1	TLC1	directional	-,-	103.7	80.64	184.33	4.3	2.33
2	308050	308265	308147	308157.5	216	TLC1	TLC1	directional	-,-	51.06	51.88	102.94	1.4	1.36
2	311458	311649	311545	311553.5	192	YBR037C	SCO1	divergent	-,+	50.11	137.51	187.62	4.29	2.29
2	315380	315492	315439	315436	113	YBR039W	ATP3	directional	+,+	22.85	12.55	35.4	0	0
2	316711	316807	316754	316759	97	YBR040W	FIG1	directional	+,+	20.02	8.59	28.61	0.06	0.22
2	318010	318175	318098	318092.5	166	YBR041W	FAT1	directional	+,+	34.95	63.72	98.67	0.38	0.39
2	321654	321817	321741	321735.5	164	YBR043C	QDR3	directional	-,-	35.1	35.32	70.42	0.29	0.41
2	324069	324387	324234	324228	319	YBR044C	TCM62	directional	-,-	376.8	214.85	591.65	25.7	4.34
2	326157	326329	326236	326243	173	ARS211	null	directional	-,-	24.28	51.37	75.65	0.11	0.15
2	326737	326785	326760	326761	49	tV(UAC)B	null	directional	-,-	10.67	8.31	18.98	0	0
2	330294	330378	330331	330336	85	YBR046C	ZTA1	directional	-,-	14.57	7.33	21.9	0	0
2	331535	331775	331674	331655	241	YBR046C	ZTA1	divergent	-,+	78.23	102.47	180.69	0.74	0.41
2	332536	332698	332612	332617	163	YBR048W	RPS11B	directional	+,+	26.8	28.51	55.31	1.13	2.05
2	336924	337166	336999	337045	243	YBR050C	REG2	directional	-,-	77.03	37.82	114.85	1.21	1.05
2	338414	338667	338554	338540.5	254	YBR052C	RFS1	directional	-,-	74.44	71.38	145.82	2.03	1.39
2	340886	340945	340911	340915.5	60	YBR053C	null	divergent	-,+	8.68	10.1	18.78	0	0
2	341299	341989	341845	341644	691	YBR053C	null	divergent	-,+	139.98	154.88	294.87	5.02	1.7
2	342232	342440	342306	342336	209	YBR054W	YRO2	divergent	-,+	29.64	33.11	62.75	0.47	0.75
2	344173	344326	344252	344249.5	154	YBR054W	YRO2	convergent	+,-	31.84	30.42	62.26	0.32	0.52
2	347342	347776	347595	347559	435	YBR055C	PRP6	divergent	-,+	68.68	76.72	145.4	0.94	0.65
2	350737	351078	350925	350907.5	342	YBRWdelta17	null	convergent	+,-	222.78	243.11	465.89	19.18	4.12
2	356595	356824	356685	356709.5	230	YBR059C	AKL1	directional	-,-	61.01	93.05	154.06	2.56	1.66
2	360343	360598	360486	360470.5	256	YBR060C	ORC2	directional	-,-	128.47	77.07	205.55	2.26	1.1
2	362656	362838	362764	362747	183	YBR060C	ORC2	directional	-,-	38.1	35.41	73.51	0.06	0.08
2	369820	369959	369885	369889.5	140	YBR066C	NRG2	directional	-,-	35.91	13.96	49.86	0.05	0.1
2	371007	371429	371243	371218	423	YBR066C	NRG2	directional	-,-	122.45	68.72	191.17	2.53	1.32
2	375935	376267	376111	376101	333	YBR069C	TAT1	directional	-,-	63.01	55.74	118.75	1.57	1.32
2	378748	379041	378895	378894.5	294	ARS212	null	directional	-,-	111.89	99.73	211.63	3.68	1.74
2	379973	380193	380084	380083	221	YBR070C	ALG14	divergent	-,+	86.83	82.49	169.32	2.08	1.23
2	381136	381320	381222	381228	185	YBR071W	null	directional	+,+	19.84	31.97	51.8	0.18	0.35
2	382968	383068	383016	383018	101	YBR072C-A	null	divergent	-,+	12.22	7.85	20.08	0	0
2	391605	391815	391713	391710	211	YBR077C	SLM4	convergent	+,-	76.45	81.55	158	1.26	0.8
2	392371	392810	392669	392590.5	440	YBR077C	SLM4	divergent	-,+	153.09	194.09	347.18	5.7	1.64
2	393194	393392	393299	393293	199	YBR078W	ECM33	NA	NA	119.38	71.07	190.46	3.29	1.73
2	398411	398477	398448	398444	67	YBR079C	RPG1	directional	-,-	12.03	8.33	20.36	0	0
2	400939	401133	401047	401036	195	YBR080C	SEC18	directional	-,-	57.45	38.1	95.55	0.62	0.65
2	407308	407525	407421	407416.5	218	YBR082C	UBC4	divergent	-,+	62.03	72.29	134.33	1.06	0.79
2	408613	408843	408734	408728	231	YBR083W	TEC1	divergent	-,+	43.09	53.49	96.58	0.51	0.52
2	410753	410934	410850	410843.5	182	YBR084W	MIS1	directional	+,+	66.16	70.08	136.24	1.2	0.88
2	418236	418373	418302	418304.5	138	ARS215	null	convergent	+,-	20.86	32.95	53.81	0.63	1.17
2	419339	420017	419692	419678	679	YBR085C-A	null	directional	-,-	99.5	78.5	178	3.32	1.87
2	423373	423555	423457	423464	183	YBR087W	RFC5	divergent	-,+	65.69	33.19	98.88	0.44	0.44
2	426893	427058	426969	426975.5	166	YBR090C	null	NA	NA	21.05	39.95	61	1.14	1.87
2	429294	429471	429394	429382.5	178	YBR093C	PHO5	directional	-,-	37.94	42.18	80.11	1.68	2.1
2	431279	431949	431578	431614	671	YBR094W	PBY1	divergent	-,+	190.32	170.28	360.6	8.3	2.3
2	435728	435953	435853	435840.5	226	YBR095C	RXT2	divergent	-,+	108.23	54.48	162.71	3.1	1.9
2	444764	444937	444840	444850.5	174	YBR101C	FES1	directional	-,-	28.8	66.78	95.58	0.62	0.65
2	447391	447545	447463	447468	155	YBR102C	EXO84	divergent	-,+	35.69	35.46	71.14	0.1	0.15
2	449286	449562	449430	449424	277	YBR103W	SIF2	directional	+,+	240.1	159.33	399.44	8.32	2.08
2	452076	452597	452348	452336.5	522	YBR106W	PHO88	divergent	-,+	242.03	350.43	592.46	10.77	1.82
2	453413	453596	453506	453504.5	184	YBR106W	PHO88	convergent	+,-	54.98	37.71	92.69	2.02	2.18
2	454573	454793	454688	454683	221	YBR108W	AIM3	divergent	-,+	86.45	67.89	154.34	1.1	0.71
2	458441	458796	458615	458618.5	356	YBR110W	ALG1	divergent	-,+	59.7	50.68	110.38	0.26	0.24
2	461941	462131	462050	462036	191	YBR111W-A	SUS1	divergent	-,+	40.48	35.5	75.98	0.52	0.68
2	465967	466657	466296	466312	691	YBR112C	CYC8	divergent	-,+	613.38	489.76	1103.13	43.36	3.93
2	466906	467083	467007	466994.5	178	YBR114W	RAD16	divergent	-,+	23.5	21.28	44.78	0.59	1.33
2	471046	471206	471120	471126	161	YBR115C	LYS2	NA	NA	19.79	19.01	38.81	0.32	0.83
2	472099	472366	472231	472232.5	268	YBR115C	LYS2	NA	NA	172.76	284.71	457.48	6.17	1.35
2	474017	474328	474189	474172.5	312	YBR117C	TKL2	directional	-,-	254.8	176.04	430.83	12.41	2.88
2	476699	476915	476830	476807	217	YBR117C	TKL2	divergent	-,+	96.93	57.93	154.86	2.67	1.72
2	477265	477598	477404	477431.5	334	YBR118W	TEF2	divergent	-,+	318.6	278.43	597.02	17.74	2.97
2	481055	481187	481125	481121	133	YBR120C	CBP6	directional	-,-	29.36	31.11	60.46	0.28	0.46
2	483533	483750	483662	483641.5	218	YBR121C	GRS1	directional	-,-	40.81	60.75	101.55	0.67	0.66
2	484602	484750	484679	484676	149	YBR123C	TFC1	directional	-,-	21.3	30.79	52.09	0	0
2	486761	486875	486802	486818	115	YBR125C	PTC4	directional	-,-	16.01	22.32	38.33	0.12	0.3
2	488558	488776	488667	488667	219	YBR126C	TPS1	directional	-,-	109.93	53.94	163.87	4.01	2.45
2	490502	491187	490729	490844.5	686	YBR127C	VMA2	directional	-,-	179.41	239.47	418.88	12.61	3.01
2	492880	493138	493024	493009	259	YBR128C	ATG14	directional	-,-	150.71	185.91	336.61	5.57	1.65
2	494184	494295	494249	494239.5	112	YBR129C	OPY1	directional	-,-	16.59	14.96	31.55	0	0
2	495409	495519	495461	495464	111	YBR129C	OPY1	directional	-,-	15.07	13.5	28.57	0.21	0.75
2	496900	497136	496985	497018	237	YBR130C	SHE3	divergent	-,+	111.71	138.93	250.64	1.58	0.63
2	501592	501905	501756	501748.5	314	YBR133C	HSL7	directional	-,-	771.96	369.22	1141.18	45.7	4
2	502243	502599	502502	502421	357	YBR133C	HSL7	NA	NA	41.22	62.3	103.52	0.47	0.46
2	504440	504752	504529	504596	313	YBR135W	CKS1	divergent	-,+	193.34	79.71	273.05	1.4	0.51
2	505456	505604	505531	505530	149	YBR136W	MEC1	directional	+,+	20.32	20.63	40.95	0.45	1.11
2	514030	514107	514073	514068.5	78	YBR138C	null	NA	NA	13.45	12.19	25.64	0	0
2	515385	515664	515536	515524.5	280	YBR139W	null	divergent	-,+	327.19	175.13	502.33	5.11	1.02
2	526910	527143	527030	527026.5	234	YBR141C	null	NA	NA	66.93	132.86	199.79	1.27	0.64
2	528062	528227	528148	528144.5	166	YBR141C	null	divergent	-,+	44.97	33.38	78.34	0.38	0.49
2	532247	532515	532409	532381	269	YBR143C	SUP45	divergent	-,+	144.39	106.44	250.83	7.36	2.93
2	533406	533650	533552	533528	245	YBR145W	ADH5	divergent	-,+	163.35	115.49	278.84	6.04	2.17
2	534975	535171	535058	535073	197	YBR146W	MRPS9	directional	+,+	37.57	42.07	79.64	0.7	0.87
2	536256	536372	536306	536314	117	YBR146W	MRPS9	directional	+,+	9.53	30.71	40.24	0	0
2	537515	537734	537614	537624.5	220	YBR147W	RTC2	directional	+,+	51.2	130.74	181.94	5.45	2.99
2	539706	539923	539809	539814.5	218	YBR148W	YSW1	directional	+,+	47.46	75.42	122.88	1.22	1
2	544536	544901	544682	544718.5	366	YBR150C	TBS1	divergent	-,+	99.42	57.68	157.1	0.46	0.3
2	546191	546279	546244	546235	89	YBR152W	SPP381	directional	+,+	13.72	19.95	33.66	0.17	0.51
2	547238	547344	547287	547291	107	YBR153W	RIB7	directional	+,+	13.12	21.76	34.88	0	0
2	549169	549296	549253	549232.5	128	YBR154C	RPB5	divergent	-,+	16.09	15.42	31.51	0	0
2	549521	549688	549601	549604.5	168	YBR155W	CNS1	divergent	-,+	41.28	55.62	96.9	0.76	0.79
2	553310	553411	553363	553360.5	102	YBR156C	SLI15	directional	-,-	10.91	16.09	27.01	0.12	0.45
