Chr	Start	End	Length	Midpoint	PanHits	Feature_name	Name	Type	Direction	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300
1	37220	37459	240	37340.5	428	YAL058W	CNE1	directional	+,+	104.14	107.1	211.24	0.79	210.44	113.02	114.99	228.02	2.78	225.24	238.15	241.36
1	39025	39213	189	39120	532	YAL056W	GPB2	directional	+,+	93.28	169.28	262.56	0.63	261.94	106.11	184.58	290.7	2.61	288.08	296.43	308.71
1	42574	42706	133	42641	64	YAL055W	PEX22	NA	NA	20.73	10.86	31.59	0.44	31.15	38	29.12	67.12	2.43	64.7	35.25	69.33
1	45180	45695	516	45438.5	953	YAL054C	ACS1	divergent	-,+	246.28	224.07	470.34	1.71	468.64	250.23	232.46	482.68	3.69	478.99	530.34	513.29
1	48354	48504	151	48430	167	YAL051W	OAF1	directional	+,+	45.41	37.02	82.42	0.5	81.92	49.85	43.43	93.28	2.49	90.79	92.71	97.3
1	52669	52803	135	52737	143	YAL048C	GEM1	directional	-,-	30.11	40.47	70.58	0.45	70.13	33.56	48.37	81.93	2.43	79.5	79.36	85.19
1	54852	54903	52	54878.5	41	YAL048C	GEM1	directional	-,-	12.34	7.9	20.24	0.17	20.06	18.26	12.83	31.09	2.16	28.94	22.7	31.01
1	57369	57565	197	57468	195	YAL044W-A	null	divergent	-,+	55.28	40.96	96.24	0.65	95.59	81.93	69.1	151.02	2.64	148.39	108.17	159.01
1	58439	58694	256	58567.5	1569	YAL044C	GCV3	directional	-,-	551.78	222.59	774.37	0.85	773.52	562.14	231.96	794.11	2.83	791.27	875.36	847.93
1	61045	61316	272	61181.5	1673	YAL042W	ERV46	divergent	-,+	379.04	446.65	825.69	0.9	824.79	386.44	457.02	843.46	2.89	840.58	933.39	900.76
1	62602	62780	179	62692	274	YAL042W	ERV46	directional	+,+	87.85	47.38	135.23	0.59	134.64	93.77	52.32	146.09	2.58	143.51	152.36	153.79
1	68012	68714	703	68364	1313	YAL039C	CYC3	directional	-,-	343.5	304.51	648.02	2.33	645.69	352.88	313.4	666.28	4.31	661.97	730.71	709.37
1	69614	69950	337	69783	964	YAL039C	CYC3	divergent	-,+	259.11	216.66	475.77	1.12	474.66	273.92	229.5	503.41	3.1	500.31	537.15	536.14
1	70373	70454	82	70414.5	52	ARS106	null	divergent	-,+	15.79	9.87	25.66	0.27	25.39	40.47	24.18	64.65	2.26	62.4	28.74	66.87
1	70787	71508	722	71148.5	1241	YAL038W	CDC19	divergent	-,+	288.72	323.76	612.48	2.39	610.09	298.59	333.14	631.73	4.37	627.36	690.42	672.28
1	74903	75108	206	75006.5	176	YAL036C	RBG1	convergent	+,-	36.03	50.83	86.86	0.68	86.18	45.9	58.73	104.63	2.67	101.96	97.53	109.26
1	76175	76428	254	76302.5	532	YAL035W	FUN12	divergent	-,+	134.74	127.83	262.56	0.84	261.72	139.67	137.7	277.37	2.83	274.54	296.18	294.2
1	79555	79593	39	79575	28	YAL035W	FUN12	directional	+,+	3.45	10.36	13.82	0.13	13.69	7.9	18.26	26.16	2.11	24.04	15.49	25.76
1	81983	82307	325	82146	1079	YAL034C	FUN19	divergent	-,+	225.05	307.48	532.53	1.08	531.45	252.2	338.08	590.27	3.06	587.21	601.43	629.26
1	82543	82731	189	82638	447	YAL033W	POP5	divergent	-,+	111.54	109.07	220.61	0.63	219.99	130.29	137.2	267.5	2.61	264.89	248.95	283.86
1	83421	83566	146	83494.5	120	YAL032C	PRP45	NA	NA	29.61	29.61	59.22	0.48	58.74	49.35	42.44	91.8	2.47	89.33	66.48	95.73
1	84500	84684	185	84593	243	YAL032C	PRP45	directional	-,-	58.24	61.69	119.93	0.61	119.32	66.13	75.02	141.15	2.6	138.56	135.03	148.48
1	87053	87303	251	87179	461	YAL030W	SNC1	divergent	-,+	121.9	105.62	227.52	0.83	226.69	125.36	109.07	234.43	2.82	231.62	256.54	248.2
1	92280	92884	605	92583	1513	YAL029C	MYO4	divergent	-,+	512.79	233.94	746.73	2	744.72	516.74	240.85	757.58	3.99	753.6	842.78	807.56
1	94462	94591	130	94527.5	109	YAL028W	FRT2	directional	+,+	33.56	20.24	53.8	0.43	53.37	38	23.2	61.2	2.42	58.78	60.39	62.99
1	99890	99961	72	99926.5	80	HRA1	HRA1	directional	-,-	7.9	31.59	39.48	0.24	39.24	11.84	39.98	51.82	2.22	49.6	44.41	53.15
1	101204	101375	172	101290.5	143	YAL025C	MAK16	directional	-,-	35.53	35.04	70.58	0.57	70.01	39.98	37.02	76.99	2.55	74.44	79.22	79.77
1	106023	106146	124	106085.5	121	YAL023C	PMT2	directional	-,-	34.55	25.17	59.72	0.41	59.31	38.5	28.63	67.12	2.4	64.73	67.12	69.36
1	108668	108913	246	108791.5	651	YAL022C	FUN26	directional	-,-	167.8	153.49	321.29	0.81	320.48	180.14	159.91	340.05	2.8	337.25	362.68	361.4
1	110440	110614	175	110528	211	YAL022C	FUN26	directional	-,-	44.42	59.72	104.14	0.58	103.56	47.38	68.11	115.49	2.56	112.92	117.19	121.01
1	113411	113617	207	113515	495	YAL020C	ATS1	directional	-,-	102.66	141.65	244.3	0.68	243.62	118.94	150.53	269.47	2.67	266.8	275.69	285.91
1	113917	114039	123	113979	83	YAL020C	ATS1	NA	NA	15.79	25.17	40.96	0.41	40.56	40.96	52.81	93.77	2.39	91.38	45.9	97.92
1	114599	114824	226	114712.5	364	YAL020C	ATS1	divergent	-,+	79.46	100.19	179.65	0.75	178.9	85.38	110.06	195.44	2.73	192.71	202.46	206.51
1	119627	119880	254	119754.5	574	YAL018C	null	divergent	-,+	172.25	111.05	283.29	0.84	282.45	178.17	118.45	296.62	2.83	293.79	319.64	314.83
1	124603	124711	109	124658	66	ARS107	null	directional	+,+	10.36	22.21	32.57	0.36	32.21	34.55	33.07	67.62	2.35	65.27	36.45	69.94
1	128061	128262	202	128162.5	360	YAL014C	SYN8	directional	-,-	136.71	40.96	177.67	0.67	177.01	150.53	51.33	201.86	2.65	199.2	200.31	213.47
1	129021	129300	280	129161.5	2274	YAL013W	DEP1	divergent	-,+	651.47	470.84	1122.31	0.93	1121.38	677.14	493.54	1170.68	2.91	1167.77	1269.03	1251.38
1	130494	130772	279	130636	3554	YAL013W	DEP1	directional	+,+	991.03	763.01	1754.04	0.92	1753.12	1004.36	794.6	1798.96	2.91	1796.05	1983.94	1924.65
1	131975	132197	223	132089	947	YAL012W	CYS3	directional	+,+	250.72	216.66	467.38	0.74	466.64	257.63	219.63	477.25	2.72	474.53	528.09	508.51
1	135737	135788	52	135764.5	28	YAL009W	SPO7	divergent	-,+	6.42	7.4	13.82	0.17	13.65	21.22	20.73	41.95	2.16	39.79	15.44	42.64
1	136697	136857	161	136779	175	YAL008W	FUN14	directional	+,+	37.51	48.86	86.37	0.53	85.84	51.82	64.16	115.98	2.52	113.46	97.14	121.59
1	138465	138679	215	138574	338	YAL007C	ERP2	directional	-,-	100.68	66.13	166.82	0.71	166.11	108.58	74.52	183.1	2.7	180.41	187.98	193.32
1	139261	139654	394	139459.5	542	YAL005C	SSA1	directional	-,-	98.21	169.28	267.5	1.3	266.2	114.01	187.05	301.06	3.29	297.77	301.24	319.09
1	141638	142069	432	141855.5	1363	YAL003W	EFB1	divergent	-,+	252.69	420	672.7	1.43	671.27	256.64	431.35	688	3.41	684.58	759.65	733.6
1	143391	143625	234	143510	455	YAL002W	VPS8	directional	+,+	161.39	63.17	224.56	0.77	223.79	164.35	64.16	228.51	2.76	225.75	253.25	241.91
1	152041	152189	149	152117	125	YAR002W	NUP60	divergent	-,+	23.2	38.5	61.69	0.49	61.2	27.14	40.47	67.62	2.48	65.14	69.26	69.8
1	154757	154917	161	154839	243	YAR002C-A	ERP1	divergent	-,+	73.04	46.89	119.93	0.53	119.4	76.5	51.82	128.32	2.52	125.8	135.12	134.81
1	158682	158886	205	158786	420	YAR007C	RFA1	divergent	-,+	111.54	95.75	207.29	0.68	206.61	114.5	99.7	214.2	2.66	211.53	233.81	226.68
1	169015	169235	221	169120	811	YAR015W	ADE1	divergent	-,+	194.95	205.31	400.26	0.73	399.53	202.85	213.21	416.05	2.72	413.34	452.13	442.94
1	170720	170922	203	170816	231	YAR018C	KIN3	NA	NA	65.15	48.86	114.01	0.67	113.34	70.58	54.29	124.87	2.66	122.21	128.26	130.96
1	171780	171928	148	171848.5	101	YAR018C	KIN3	directional	-,-	24.18	25.66	49.85	0.49	49.36	30.11	29.12	59.22	2.48	56.75	55.86	60.81
1	175160	175309	149	175232	108	YAR019C	CDC15	directional	-,-	25.66	27.64	53.3	0.49	52.81	38.99	45.9	84.89	2.48	82.41	59.76	88.31
1	179728	179809	82	179766.5	56	YAR023C	null	NA	NA	21.72	5.92	27.64	0.27	27.37	31.59	14.81	46.39	2.26	44.14	30.97	47.3
1	180098	180588	491	180341	365	YAR023C	null	divergent	-,+	109.07	71.07	180.14	1.62	178.52	125.85	83.41	209.26	3.61	205.65	202.02	220.38
1	180994	181387	394	181184.5	384	tS(AGA)A	null	divergent	-,+	86.37	103.15	189.52	1.3	188.22	93.28	111.05	204.33	3.29	201.04	213	215.43
1	182979	183058	80	183012.5	95	YARWsigma1	null	divergent	-,+	25.17	21.72	46.89	0.26	46.62	35.53	24.18	59.72	2.25	57.47	52.76	61.58
1	184643	184790	148	184710.5	122	YAR028W	null	directional	+,+	31.59	28.63	60.21	0.49	59.72	35.53	31.09	66.63	2.48	64.15	67.59	68.75
1	189729	191685	1957	190701	3647	YAR035W	YAT1	NA	NA	893.8	906.14	1799.94	6.48	1793.47	917	936.74	1853.74	8.46	1845.28	2029.6	1977.41
1	191983	192550	568	192260.5	869	YAR035W	YAT1	convergent	+,-	161.39	267.5	428.89	1.88	427.01	188.53	281.81	470.34	3.86	466.48	483.23	499.88
1	198392	198879	488	198629.5	1265	YAR042W	SWH1	directional	+,+	307.97	316.36	624.33	1.61	622.71	315.87	324.26	640.12	3.6	636.52	704.7	682.1
1	202365	202829	465	202590	512	YAR050W	FLO1	directional	+,+	116.48	136.22	252.69	1.54	251.15	117.46	140.17	257.63	3.52	254.1	284.22	272.3
2	10537	10741	205	10639	415	YBL107C	null	directional	-,-	87.36	117.46	204.82	0.68	204.14	87.36	121.9	209.26	2.66	206.6	231.02	221.39
2	18014	18128	115	18071	83	YBL104C	null	directional	-,-	23.69	17.27	40.96	0.38	40.58	31.59	19.25	50.83	2.37	48.47	45.93	51.94
2	21381	21458	78	21418.5	56	YBL104C	null	directional	-,-	11.84	15.79	27.64	0.26	27.38	18.26	21.22	39.48	2.24	37.24	30.99	39.91
2	23802	23990	190	23895.5	150	YBL102W	SFT2	divergent	-,+	59.72	13.82	73.54	0.63	72.91	60.21	15.3	75.51	2.61	72.9	82.51	78.12
2	28412	29079	665	28744	1347	ARS230	null	directional_overlapping	+,+	429.38	235.42	664.8	2.2	662.6	446.65	255.16	701.81	4.19	697.63	749.84	747.58
2	29363	29449	87	29403	72	YBLWdelta4	null	directional_overlapping	+,+	20.73	14.81	35.53	0.29	35.25	28.13	27.64	55.77	2.27	53.5	39.89	57.33
2	36502	36696	195	36596	189	tF(GAA)B	null	directional_overlapping	+,+	27.14	66.13	93.28	0.65	92.63	35.04	71.07	106.11	2.63	103.48	104.83	110.89
2	40596	40705	110	40647.5	82	YBL098W	BNA4	directional	+,+	22.21	18.26	40.47	0.36	40.11	28.63	19.74	48.37	2.35	46.02	45.39	49.31
2	45014	45480	467	45244	1213	YBL093C	ROX3	divergent	-,+	225.05	373.61	598.66	1.55	597.12	229.5	383.97	613.47	3.53	609.94	675.74	653.61
2	47181	47376	196	47275.5	225	YBL091C	MAP2	directional	-,-	48.86	62.19	111.05	0.65	110.4	55.77	69.1	124.87	2.63	122.23	124.93	130.98
2	48638	48820	183	48726	373	YBL090W	MRP21	divergent	-,+	88.84	95.25	184.09	0.61	183.49	99.7	107.59	207.29	2.59	204.7	207.64	219.35
2	49371	49593	223	49479	476	YBL089W	AVT5	directional	+,+	118.94	115.98	234.93	0.74	234.19	130.79	125.36	256.15	2.72	253.42	265.02	271.57
2	60841	61028	188	60930.5	282	YBL087C	RPL23A	directional	-,-	84.4	54.78	139.18	0.62	138.56	93.77	56.76	150.53	2.61	147.92	156.8	158.51
2	62678	62948	271	62810	788	YBL086C	null	divergent	-,+	191.99	196.92	388.91	0.9	388.01	205.81	210.74	416.55	2.88	413.67	439.1	443.29
2	69540	69875	336	69704.5	891	YBL082C	ALG3	directional	-,-	229.99	209.75	439.74	1.11	438.63	236.9	216.17	453.07	3.1	449.97	496.39	482.19
2	71131	71603	473	71364	3455	YBL082C	ALG3	divergent	-,+	797.56	907.62	1705.18	1.57	1703.62	812.86	933.78	1746.64	3.55	1743.09	1927.92	1867.9
2	74620	75223	604	74918.5	2421	YBL080C	PET112	divergent	-,+	612.98	581.88	1194.86	2	1192.86	621.86	588.3	1210.16	3.98	1206.18	1349.92	1292.55
2	80798	80965	168	80879.5	127	YBL078C	ATG8	directional	-,-	47.38	15.3	62.68	0.56	62.12	48.86	23.2	72.06	2.54	69.52	70.3	74.49
2	84356	84506	151	84429	105	YBL075C	SSA3	directional	-,-	29.61	22.21	51.82	0.5	51.32	32.57	30.6	63.17	2.49	60.69	58.08	65.03
2	88093	88242	150	88165.5	234	snR56	SNR56	directional	-,-	53.8	61.69	115.49	0.5	114.99	62.19	81.93	144.11	2.48	141.63	130.13	151.77
2	89672	89959	288	89813.5	366	YBL071W-A	KTI11	divergent	-,+	105.62	75.02	180.64	0.95	179.68	112.53	79.46	191.99	2.94	189.05	203.34	202.59
2	90489	90600	112	90542.5	101	YBL069W	AST1	directional	+,+	26.16	23.69	49.85	0.37	49.48	32.57	29.12	61.69	2.36	59.34	55.99	63.59
2	96202	96352	151	96279	145	YBL066C	SEF1	directional	-,-	46.89	24.68	71.56	0.5	71.06	50.83	26.16	76.99	2.49	74.51	80.42	79.84
2	100193	100372	180	100284.5	212	YBL064C	PRX1	directional	-,-	40.47	64.16	104.63	0.6	104.03	41.95	66.13	108.09	2.58	105.5	117.73	113.06
2	101202	101840	639	101523	944	YBL063W	KIP1	divergent	-,+	228.51	237.39	465.9	2.11	463.79	229.99	240.35	470.34	4.1	466.24	524.85	499.63
2	107508	107909	402	107710.5	581	YBL060W	YEL1	divergent	-,+	187.55	99.2	286.75	1.33	285.42	189.03	100.68	289.71	3.32	286.39	323	306.9
2	111263	111377	115	111322	68	YBL059W	null	directional	+,+	23.2	10.36	33.56	0.38	33.18	26.65	21.72	48.37	2.37	46	37.55	49.29
2	113489	113598	110	113546.5	84	YBL057C	PTH2	divergent	-,+	24.18	17.27	41.46	0.36	41.09	29.12	19.74	48.86	2.35	46.51	46.5	49.84
2	116915	117395	481	117158	920	YBL055C	null	divergent	-,+	308.96	145.1	454.06	1.59	452.47	310.93	150.53	461.46	3.58	457.88	512.04	490.67
2	122150	122352	203	122254	297	YBL052C	SAS3	directional	-,-	76.5	70.08	146.58	0.67	145.91	81.93	70.58	152.5	2.66	149.85	165.12	160.58
2	124826	125062	237	124947	900	YBL050W	SEC17	divergent	-,+	182.12	262.07	444.19	0.78	443.4	183.6	267.99	451.59	2.77	448.82	501.78	480.96
2	126099	126624	526	126364.5	1772	YBL050W	SEC17	directional	+,+	315.87	558.69	874.55	1.74	872.81	320.31	563.13	883.44	3.73	879.71	987.73	942.7
2	132200	132376	177	132291	443	YBL046W	PSY4	divergent	-,+	106.11	112.53	218.64	0.59	218.05	110.55	116.48	227.03	2.57	224.46	246.76	240.53
2	134637	134791	155	134717	89	YBL045C	COR1	NA	NA	18.26	25.66	43.93	0.51	43.41	27.14	34.55	61.69	2.5	59.19	49.13	63.43
2	135737	136459	723	136101	1218	YBL045C	COR1	NA	NA	353.38	247.76	601.13	2.39	598.74	356.83	251.71	608.54	4.38	604.16	677.57	647.42
2	140491	141140	650	140818.5	668	YBL041W	PRE7	divergent	-,+	177.67	152.01	329.69	2.15	327.53	191.99	153.98	345.97	4.14	341.84	370.66	366.31
2	142939	143095	157	143020	125	YBL040C	ERD2	divergent	-,+	25.66	36.03	61.69	0.52	61.17	39.48	52.32	91.8	2.5	89.29	69.23	95.69
2	145824	146103	280	145966.5	364	YBL038W	MRPL16	divergent	-,+	90.81	88.84	179.65	0.93	178.72	90.81	91.31	182.12	2.91	179.2	202.25	192.04
2	146933	147083	151	147011	167	YBL038W	MRPL16	directional	+,+	39.48	42.94	82.42	0.5	81.92	45.41	44.91	90.32	2.49	87.83	92.71	94.12
2	151229	151463	235	151349	808	YBL036C	null	directional	-,-	167.31	231.47	398.78	0.78	398	168.3	234.93	403.22	2.76	400.46	450.41	429.13
2	153736	153933	198	153837.5	289	YBL034C	STU1	directional	-,-	73.54	69.1	142.63	0.66	141.98	78.47	71.56	150.04	2.64	147.4	160.67	157.95
2	158475	158652	178	158566.5	280	YBL033C	RIB1	directional	-,-	86.86	51.33	138.19	0.59	137.6	94.76	53.3	148.06	2.57	145.49	155.72	155.91
2	159701	160124	424	159915.5	1567	YBL033C	RIB1	divergent	-,+	250.23	523.15	773.38	1.4	771.98	254.67	527.1	781.77	3.39	778.38	873.62	834.12
2	161514	161608	95	161564	82	YBL031W	SHE1	directional	+,+	26.65	13.82	40.47	0.31	40.16	38	16.29	54.29	2.3	51.99	45.44	55.71
2	164177	164434	258	164308.5	168	YBL029C-A	null	directional	-,-	40.47	42.44	82.91	0.85	82.06	45.9	48.86	94.76	2.84	91.92	92.87	98.5
2	164923	165118	196	165023.5	138	YBL029C-A	null	divergent	-,+	29.12	38.99	68.11	0.65	67.46	48.37	55.28	103.64	2.63	101.01	76.34	108.24
2	165378	165927	550	165655.5	502	YBL029W	null	divergent	-,+	101.67	146.09	247.76	1.82	245.94	114.01	165.83	279.84	3.81	276.03	278.32	295.8
2	167922	168043	122	167985.5	102	YBL028C	null	divergent	-,+	28.63	21.72	50.34	0.4	49.94	42.94	38.99	81.93	2.39	79.54	56.51	85.23
2	170133	170556	424	170347.5	482	ARS207	null	directional	+,+	94.27	143.62	237.89	1.4	236.48	104.14	156.95	261.08	3.39	257.69	267.62	276.15
2	171240	171444	205	171345	330	YBL025W	RRN10	directional	+,+	85.88	76.99	162.87	0.68	162.19	91.8	81.93	173.73	2.66	171.06	183.54	183.31
2	172279	172476	198	172380.5	212	YBL024W	NCL1	directional	+,+	43.43	61.2	104.63	0.66	103.98	48.37	64.65	113.02	2.64	110.38	117.67	118.28
2	177672	177814	143	177746	184	YBL022C	PIM1	directional	-,-	49.35	41.46	90.81	0.47	90.34	52.81	43.43	96.24	2.46	93.78	102.23	100.5
2	181372	181604	233	181491	249	YBL021C	HAP3	directional	-,-	41.95	80.94	122.89	0.77	122.12	50.83	99.7	150.53	2.76	147.77	138.2	158.35
2	182085	182294	210	182192.5	521	YBL021C	HAP3	divergent	-,+	144.61	112.53	257.13	0.69	256.44	148.06	120.42	268.49	2.68	265.81	290.2	284.84
2	191821	192347	527	192087	424	YBL016W	FUS3	divergent	-,+	60.71	148.56	209.26	1.74	207.52	67.12	154.97	222.09	3.73	218.36	234.84	234
2	193098	194044	947	193574	2661	YBL016W	FUS3	directional	+,+	553.75	759.56	1313.31	3.13	1310.18	567.08	769.43	1336.51	5.12	1331.39	1482.68	1426.72
2	195914	196272	359	196096	677	YBL015W	ACH1	convergent	+,-	213.7	120.42	334.13	1.19	332.94	224.07	124.87	348.93	3.17	345.76	376.78	370.52
2	201897	202007	111	201955	86	YBL013W	FMT1	divergent	-,+	17.77	24.68	42.44	0.37	42.08	29.12	34.55	63.67	2.35	61.31	47.62	65.7
2	202286	202482	197	202387	169	YBL013W	FMT1	NA	NA	38	45.41	83.41	0.65	82.76	67.62	65.15	132.76	2.64	130.13	93.65	139.44
2	202898	202947	50	202925.5	35	YBL013W	FMT1	NA	NA	8.88	8.39	17.27	0.17	17.11	48.86	31.09	79.95	2.15	77.8	19.36	83.37
2	203158	203324	167	203244	88	YBL013W	FMT1	NA	NA	22.21	21.22	43.43	0.55	42.88	46.89	47.87	94.76	2.54	92.22	48.52	98.83
2	206971	207163	193	207070	285	YBL010C	null	divergent	-,+	61.2	79.46	140.66	0.64	140.02	66.63	83.9	150.53	2.62	147.91	158.46	158.5
2	209428	209539	112	209486.5	79	YBL008W-A	null	NA	NA	17.27	21.72	38.99	0.37	38.62	25.66	29.61	55.28	2.36	52.92	43.7	56.71
2	216449	216832	384	216643.5	640	YBL006C	LDB7	NA	NA	155.96	159.91	315.87	1.27	314.6	159.41	165.83	325.24	3.26	321.99	356.02	345.04
2	217102	217507	406	217307.5	2882	YBL005W	PDR3	divergent	-,+	303.03	1119.35	1422.38	1.34	1421.04	309.45	1125.27	1434.72	3.33	1431.39	1608.14	1533.89
2	220780	220851	72	220818.5	47	YBLWdelta8	null	directional_overlapping	+,+	7.9	15.3	23.2	0.24	22.96	21.22	27.14	48.37	2.22	46.14	25.98	49.45
2	227325	227443	119	227387	121	tS(AGA)B	null	directional_overlapping	+,+	44.42	15.3	59.72	0.39	59.32	48.86	21.22	70.08	2.38	67.7	67.14	72.55
2	236004	236334	331	236172	286	YBL002W	HTB2	divergent	-,+	76.5	64.65	141.15	1.1	140.06	79.95	66.13	146.09	3.08	143.01	158.5	153.25
2	241427	241658	232	241544.5	456	YBR002C	RER2	directional	-,-	98.71	126.35	225.05	0.77	224.29	102.66	130.79	233.44	2.75	230.69	253.82	247.21
2	242572	242753	182	242664.5	243	YBR002C	RER2	divergent	-,+	44.42	75.51	119.93	0.6	119.33	46.39	79.46	125.85	2.59	123.27	135.04	132.09
2	246687	246863	177	246777	141	YBR005W	RCR1	directional	+,+	38.5	31.09	69.59	0.59	69	46.89	35.04	81.93	2.57	79.36	78.09	85.04
2	251040	251593	554	251317.5	1643	YBR007C	DSF2	directional	-,-	464.42	346.47	810.89	1.83	809.05	470.84	353.38	824.21	3.82	820.39	915.58	879.14
2	254964	255109	146	255034.5	84	ARS209	ARS209	directional	-,-	11.84	29.61	41.46	0.48	40.97	22.7	38	60.71	2.47	58.24	46.37	62.41
2	255880	256222	343	256049	304	YBR010W	HHT1	divergent	-,+	77.49	72.55	150.04	1.13	148.9	84.4	84.89	169.28	3.12	166.16	168.51	178.06
2	258052	258281	230	258164.5	994	YBR011C	IPP1	divergent_overlapping	-,+	371.14	119.44	490.58	0.76	489.82	373.12	121.9	495.02	2.75	492.27	554.31	527.52
2	269731	270126	396	269928.5	348	YBR016W	null	divergent	-,+	78.97	92.79	171.75	1.31	170.44	85.88	106.6	192.48	3.3	189.19	192.88	202.73
2	288088	288642	555	288365	1585	YBR023C	CHS3	divergent	-,+	415.56	366.7	782.26	1.84	780.43	426.42	374.6	801.02	3.82	797.19	883.18	854.28
2	289174	289275	102	289224.5	61	YBR024W	SCO2	divergent	-,+	12.83	17.27	30.11	0.34	29.77	28.13	35.53	63.67	2.32	61.34	33.69	65.74
2	292041	292465	425	292253	803	YBR025C	OLA1	directional	-,-	211.24	185.08	396.31	1.41	394.91	215.68	188.04	403.72	3.39	400.32	446.9	428.99
2	296125	296285	161	296205	326	YBR029C	CDS1	directional	-,-	82.91	77.98	160.89	0.53	160.36	85.88	81.43	167.31	2.52	164.79	181.48	176.59
2	297826	298210	385	298018	734	YBR030W	RKM3	divergent	-,+	174.22	188.04	362.26	1.27	360.98	175.21	189.52	364.73	3.26	361.47	408.51	387.35
2	299999	300082	84	300040.5	54	YBR030W	RKM3	directional	+,+	15.79	10.86	26.65	0.28	26.37	23.2	17.77	40.96	2.26	38.7	29.85	41.47
2	301315	301808	494	301561.5	2284	YBR031W	RPL4A	directional	+,+	497.98	629.26	1127.25	1.63	1125.61	501.44	635.19	1136.62	3.62	1133	1273.82	1214.13
2	306032	306227	196	306129.5	251	YBR035C	PDX3	directional	-,-	67.62	56.26	123.88	0.65	123.23	70.08	57.25	127.33	2.63	124.7	139.46	133.63
2	307081	307552	472	307316.5	367	TLC1	TLC1	directional	-,-	101.18	79.95	181.13	1.56	179.57	102.66	84.89	187.55	3.55	184	203.21	197.17
2	308042	308274	233	308158	217	TLC1	TLC1	directional	-,-	56.76	50.34	107.1	0.77	106.33	65.64	54.29	119.93	2.76	117.17	120.33	125.56
2	311487	311637	151	311561	321	YBR037C	SCO1	divergent	-,+	38.5	119.93	158.43	0.5	157.93	48.37	125.85	174.22	2.49	171.73	178.72	184.03
2	315401	315472	72	315436.5	58	YBR039W	ATP3	directional	+,+	20.73	7.9	28.63	0.24	28.39	35.04	21.72	56.76	2.22	54.53	32.12	58.44
2	318028	318155	128	318091.5	154	YBR041W	FAT1	directional	+,+	35.04	40.96	76.01	0.42	75.58	40.47	43.93	84.4	2.41	81.99	85.53	87.86
2	321705	321808	104	321756.5	86	YBR043C	QDR3	directional	-,-	18.26	24.18	42.44	0.34	42.1	23.2	30.6	53.8	2.33	51.47	47.64	55.15
2	324093	324341	249	324217	661	YBR044C	TCM62	directional	-,-	210.25	115.98	326.23	0.82	325.41	214.69	120.42	335.11	2.81	332.3	368.25	356.1
2	326173	326314	142	326242.5	146	ARS211	null	directional	-,-	29.12	42.94	72.06	0.47	71.59	33.07	50.34	83.41	2.46	80.95	81.01	86.75
2	326708	326817	110	326761.5	84	tV(UAC)B	null	directional	-,-	24.18	17.27	41.46	0.36	41.09	36.03	29.61	65.64	2.35	63.29	46.5	67.82
2	330319	330360	42	330337.5	56	YBR046C	ZTA1	directional	-,-	17.27	10.36	27.64	0.14	27.5	23.2	14.81	38	2.12	35.88	31.12	38.45
2	331551	331756	206	331651.5	259	YBR046C	ZTA1	divergent	-,+	51.33	76.5	127.83	0.68	127.15	52.81	80.45	133.26	2.67	130.59	143.89	139.94
2	332545	332691	147	332616	126	YBR048W	RPS11B	directional	+,+	28.63	33.56	62.19	0.49	61.7	35.04	41.95	76.99	2.47	74.52	69.82	79.86
