chr	type	start	stop	orientation	sysname	genename
1	gene	38696	39046	-	YAL056C-A	Dubious_ORF
1	CDS	38696	39046	-		
1	mRNA	38696	39046	-	YAL056C-A_mRNA	
1	gene	39259	41901	+	YAL056W	GPB2
1	CDS	39259	41901	+		
1	mRNA	39259	41901	+	YAL056W_mRNA	
1	ARS	41992	42151	.	ARS105	
1	gene	42177	42719	+	YAL055W	PEX22
1	CDS	42177	42719	+		
1	mRNA	42177	42719	+	YAL055W_mRNA	
1	gene	42881	45022	-	YAL054C	ACS1
1	CDS	42881	45022	-		
1	mRNA	42881	45022	-	YAL054C_mRNA	
1	gene	45899	48250	+	YAL053W	FLC2
1	CDS	45899	48250	+		
1	mRNA	45899	48250	+	YAL053W_mRNA	
1	gene	48564	51707	+	YAL051W	OAF1
1	CDS	48564	51707	+		
1	mRNA	48564	51707	+	YAL051W_mRNA	
1	gene	51855	52595	-	YAL049C	AIM2
1	CDS	51855	52595	-		
1	mRNA	51855	52595	-	YAL049C_mRNA	
1	gene	52801	54789	-	YAL048C	GEM1
1	CDS	52801	54789	-		
1	mRNA	52801	54789	-	YAL048C_mRNA	
1	gene	54584	54913	+	YAL047W-A	Dubious_ORF
1	CDS	54584	54913	+		
1	mRNA	54584	54913	+	YAL047W-A_mRNA	
1	gene	54989	56857	-	YAL047C	SPC72
1	CDS	54989	56857	-		
1	mRNA	54989	56857	-	YAL047C_mRNA	
1	gene	57029	57385	-	YAL046C	AIM1
1	CDS	57029	57385	-		
1	mRNA	57029	57385	-	YAL046C_mRNA	
1	gene	57488	57796	-	YAL045C	Dubious_ORF
1	CDS	57488	57796	-		
1	mRNA	57488	57796	-	YAL045C_mRNA	
1	gene	57518	57850	+	YAL044W-A	Dubious_ORF
1	CDS	57518	57850	+		
1	mRNA	57518	57850	+	YAL044W-A_mRNA	
1	gene	57950	58462	-	YAL044C	GCV3
1	CDS	57950	58462	-		
1	mRNA	57950	58462	-	YAL044C_mRNA	
1	gene	58695	61052	-	YAL043C	PTA1
1	CDS	58695	61052	-		
1	mRNA	58695	61052	-	YAL043C_mRNA	
1	gene	61231	61608	-	YAL042C-A	Dubious_ORF
1	CDS	61231	61608	-		
1	mRNA	61231	61608	-	YAL042C-A_mRNA	
1	gene	61316	62563	+	YAL042W	ERV46
1	CDS	61316	62563	+		
1	mRNA	61316	62563	+	YAL042W_mRNA	
1	gene	62840	65404	+	YAL041W	CDC24
1	CDS	62840	65404	+		
1	mRNA	62840	65404	+	YAL041W_mRNA	
1	region	65778	67520	-		
1	gene	65778	67520	-	YAL040C	CLN3
1	CDS	65778	67520	-		
1	mRNA	65778	67520	-	YAL040C_mRNA	
1	gene	68716	69525	-	YAL039C	CYC3
1	CDS	68716	69525	-		
1	mRNA	68716	69525	-	YAL039C_mRNA	
1	ARS	70300	70469	.	ARS106	
1	ARS_consensus_sequence	70418	70434	-	ARS106_ARS_consensus_sequence	
1	gene	71786	73288	+	YAL038W	CDC19
1	CDS	71786	73288	+		
1	mRNA	71786	73288	+	YAL038W_mRNA	
1	gene	72326	73300	-	YAL037C-B	Dubious_ORF
1	CDS	72326	73300	-		
1	mRNA	72326	73300	-	YAL037C-B_mRNA	
1	gene	73426	73518	-	YAL037C-A	Dubious_ORF
1	CDS	73426	73518	-		
1	mRNA	73426	73518	-	YAL037C-A_mRNA	
1	gene	74020	74823	+	YAL037W	Dubious_ORF
1	CDS	74020	74823	+		
1	mRNA	74020	74823	+	YAL037W_mRNA	
1	gene	75043	76152	-	YAL036C	RBG1
1	CDS	75043	76152	-		
1	mRNA	75043	76152	-	YAL036C_mRNA	
1	gene	76427	79435	+	YAL035W	FUN12
1	CDS	76427	79435	+		
1	mRNA	76427	79435	+	YAL035W_mRNA	
1	gene	79489	79842	-	YAL034C-B	Dubious_ORF
1	CDS	79489	79842	-		
1	mRNA	79489	79842	-	YAL034C-B_mRNA	
1	gene	79718	80587	+	YAL034W-A	MTW1
1	CDS	79718	80587	+		
1	mRNA	79718	80587	+	YAL034W-A_mRNA	
1	gene	80710	81951	-	YAL034C	FUN19
1	CDS	80710	81951	-		
1	mRNA	80710	81951	-	YAL034C_mRNA	
1	gene	82706	83227	+	YAL033W	POP5
1	CDS	82706	83227	+		
1	mRNA	82706	83227	+	YAL033W_mRNA	
1	gene	83335	84474	-	YAL032C	PRP45
1	CDS	83335	84474	-		
1	mRNA	83335	84474	-	YAL032C_mRNA	
1	gene	84669	84977	+	YAL031W-A	Dubious_ORF
1	CDS	84669	84977	+		
1	mRNA	84669	84977	+	YAL031W-A_mRNA	
1	gene	84749	87031	-	YAL031C	GIP4
1	CDS	84749	87031	-		
1	mRNA	84749	87031	-	YAL031C_mRNA	
1	gene	87286	87752	+	YAL030W	SNC1
1	CDS	87286	87387	+		
1	CDS	87501	87752	+		
1	intron	87388	87500	+		
1	mRNA	87286	87752	+	YAL030W_mRNA	
1	gene	87855	92270	-	YAL029C	MYO4
1	CDS	87855	92270	-		
1	mRNA	87855	92270	-	YAL029C_mRNA	
1	gene	92900	94486	+	YAL028W	FRT2
1	CDS	92900	94486	+		
1	mRNA	92900	94486	+	YAL028W_mRNA	
1	gene	94687	95472	+	YAL027W	SAW1
1	CDS	94687	95472	+		
1	mRNA	94687	95472	+	YAL027W_mRNA	
1	gene	95386	95823	-	YAL026C-A	Dubious_ORF
1	CDS	95386	95823	-		
1	mRNA	95386	95823	-	YAL026C-A_mRNA	
1	gene	95630	99697	-	YAL026C	DRS2
1	CDS	95630	99697	-		
1	mRNA	95630	99697	-	YAL026C_mRNA	
1	ncRNA_gene	99305	99868	+	HRA1	HRA1
1	noncoding_exon	99305	99868	+		
1	region	100225	101145	-		
1	gene	100225	101145	-	YAL025C	MAK16
1	CDS	100225	101145	-		
1	mRNA	100225	101145	-	YAL025C_mRNA	
1	gene	101565	105872	-	YAL024C	LTE1
1	CDS	101565	105872	-		
1	mRNA	101565	105872	-	YAL024C_mRNA	
1	gene	106272	108551	-	YAL023C	PMT2
1	CDS	106272	108551	-		
1	mRNA	106272	108551	-	YAL023C_mRNA	
1	gene	108877	110430	-	YAL022C	FUN26
1	CDS	108877	110430	-		
1	mRNA	108877	110430	-	YAL022C_mRNA	
1	gene	110846	113359	-	YAL021C	CCR4
1	CDS	110846	113359	-		
1	mRNA	110846	113359	-	YAL021C_mRNA	
1	gene	113614	114615	-	YAL020C	ATS1
1	CDS	113614	114615	-		
1	mRNA	113614	114615	-	YAL020C_mRNA	
1	gene	114250	114819	+	YAL019W-A	Dubious_ORF
1	CDS	114250	114819	+		
1	mRNA	114250	114819	+	YAL019W-A_mRNA	
1	gene	114919	118314	+	YAL019W	FUN30
1	CDS	114919	118314	+		
1	mRNA	114919	118314	+	YAL019W_mRNA	
1	gene	118564	119541	-	YAL018C	LDS1
1	CDS	118564	119541	-		
1	mRNA	118564	119541	-	YAL018C_mRNA	
1	gene	120225	124295	+	YAL017W	PSK1
1	CDS	120225	124295	+		
1	mRNA	120225	124295	+	YAL017W_mRNA	
1	gene	124307	124492	-	YAL016C-B	Dubious_ORF
1	CDS	124307	124492	-		
1	mRNA	124307	124492	-	YAL016C-B_mRNA	
1	ARS	124349	124597	.	ARS107	
1	ARS_consensus_sequence	124463	124479	-	ARS107_ARS_consensus_sequence	
1	gene	124755	125069	-	YAL016C-A	Dubious_ORF
1	CDS	124755	125069	-		
1	mRNA	124755	125069	-	YAL016C-A_mRNA	
1	gene	124879	126786	+	YAL016W	TPD3
1	CDS	124879	126786	+		
1	mRNA	124879	126786	+	YAL016W_mRNA	
1	gene	126903	128102	-	YAL015C	NTG1
1	CDS	126903	128102	-		
1	mRNA	126903	128102	-	YAL015C_mRNA	
1	gene	128252	129019	-	YAL014C	SYN8
1	CDS	128252	129019	-		
1	mRNA	128252	129019	-	YAL014C_mRNA	
1	gene	129270	130487	+	YAL013W	DEP1
1	CDS	129270	130487	+		
1	mRNA	129270	130487	+	YAL013W_mRNA	
1	region	130799	131983	+		
1	gene	130799	131983	+	YAL012W	CYS3
1	CDS	130799	131983	+		
1	mRNA	130799	131983	+	YAL012W_mRNA	
1	gene	132199	134076	+	YAL011W	SWC3
1	CDS	132199	134076	+		
1	mRNA	132199	134076	+	YAL011W_mRNA	
1	gene	134184	135665	-	YAL010C	MDM10
1	CDS	134184	135665	-		
1	mRNA	134184	135665	-	YAL010C_mRNA	
1	gene	135854	136633	+	YAL009W	SPO7
1	CDS	135854	136633	+		
1	mRNA	135854	136633	+	YAL009W_mRNA	
1	gene	136914	137510	+	YAL008W	FUN14
1	CDS	136914	137510	+		
1	mRNA	136914	137510	+	YAL008W_mRNA	
1	gene	137698	138345	-	YAL007C	ERP2
1	CDS	137698	138345	-		
1	mRNA	137698	138345	-	YAL007C_mRNA	
1	long_terminal_repeat	138831	138992	-	YALCdelta2	
1	tRNA_gene	139152	139254	+	tP%28UGG%29A	TRN1
1	intron	139188	139218	+		
1	noncoding_exon	139152	139187	+		
1	noncoding_exon	139219	139254	+		
1	gene	139503	141431	-	YAL005C	SSA1
1	CDS	139503	141431	-		
1	mRNA	139503	141431	-	YAL005C_mRNA	
1	gene	140760	141407	+	YAL004W	Dubious_ORF
1	CDS	140760	141407	+		
1	mRNA	140760	141407	+	YAL004W_mRNA	
1	gene	142174	143160	+	YAL003W	EFB1
1	CDS	142174	142253	+		
1	CDS	142620	143160	+		
1	intron	142254	142619	+		
1	mRNA	142174	143160	+	YAL003W_mRNA	
1	snoRNA_gene	142367	142468	+	snR18	SNR18
1	noncoding_exon	142367	142468	+		
1	gene	143707	147531	+	YAL002W	VPS8
1	CDS	143707	147531	+		
1	mRNA	143707	147531	+	YAL002W_mRNA	
1	ARS	147398	147717	.	ARS108	
1	gene	147594	151166	-	YAL001C	TFC3
1	CDS	147594	151006	-		
1	CDS	151097	151166	-		
1	intron	151007	151096	-		
1	mRNA	147594	151166	-	YAL001C_mRNA	
1	centromere	151465	151582	+	CEN1	CEN1
1	centromere_DNA_Element_I	151465	151474	+		
1	centromere_DNA_Element_II	151475	151557	+		
1	centromere_DNA_Element_III	151558	151582	+		
1	gene	152257	153876	+	YAR002W	NUP60
1	CDS	152257	153876	+		
1	mRNA	152257	153876	+	YAR002W_mRNA	
1	gene	154065	154724	-	YAR002C-A	ERP1
1	CDS	154065	154724	-		
1	mRNA	154065	154724	-	YAR002C-A_mRNA	
1	gene	155005	156285	+	YAR003W	SWD1
1	CDS	155005	156285	+		
1	mRNA	155005	156285	+	YAR003W_mRNA	
1	gene	156754	158619	-	YAR007C	RFA1
1	CDS	156754	158619	-		
1	mRNA	156754	158619	-	YAR007C_mRNA	
1	gene	158966	159793	+	YAR008W	SEN34
1	CDS	158966	159793	+		
1	mRNA	158966	159793	+	YAR008W_mRNA	
1	ARS	159907	160127	.	ARS109	ARS101
1	ARS_consensus_sequence	159935	159945	-	ARS109_ARS_consensus_sequence_1	
1	ARS_consensus_sequence	159952	159966	+	ARS109_ARS_consensus_sequence_2	
1	long_terminal_repeat	160105	160237	-	YARCdelta3	
1	long_terminal_repeat	160238	160574	-	YARCdelta4	
1	LTR_retrotransposon	160238	166162	-	YARCTy1-1	
1	transposable_element_gene	160597	164187	-	YAR009C	
1	CDS	160597	164187	-		
1	transposable_element_gene	164544	165866	-	YAR010C	
1	CDS	164544	165866	-		
1	long_terminal_repeat	165826	166162	-	YARCdelta5	
1	tRNA_gene	166267	166339	+	tA%28UGC%29A	TGA1
1	noncoding_exon	166267	166339	+		
1	gene	166742	168871	-	YAR014C	BUD14
1	CDS	166742	168871	-		
1	mRNA	166742	168871	-	YAR014C_mRNA	
1	region	169375	170295	+		
1	gene	169375	170295	+	YAR015W	ADE1
1	CDS	169375	170295	+		
1	mRNA	169375	170295	+	YAR015W_mRNA	
1	gene	170396	171703	-	YAR018C	KIN3
1	CDS	170396	171703	-		
1	mRNA	170396	171703	-	YAR018C_mRNA	
1	gene	172211	175135	-	YAR019C	CDC15
1	CDS	172211	175135	-		
1	mRNA	172211	175135	-	YAR019C_mRNA	
1	gene	174998	175330	+	YAR019W-A	Dubious_ORF
1	CDS	174998	175330	+		
1	mRNA	174998	175330	+	YAR019W-A_mRNA	
1	ARS	176157	176404	.	ARS110	ARS110
1	ARS_consensus_sequence	176232	176248	+	ARS110_ARS_consensus_sequence	
1	gene	176856	177023	-	YAR020C	PAU7
1	CDS	176856	177023	-		
1	mRNA	176856	177023	-	YAR020C_mRNA	
1	gene	179281	179820	-	YAR023C	Dubious_ORF
1	CDS	179281	179820	-		
1	mRNA	179281	179820	-	YAR023C_mRNA	
1	tRNA_gene	181141	181254	+	tL%28CAA%29A	SUP56
1	intron	181179	181210	+		
1	noncoding_exon	181141	181178	+		
1	noncoding_exon	181211	181254	+		
1	tRNA_gene	182522	182603	-	tS%28AGA%29A	
1	noncoding_exon	182522	182603	-		
1	long_terminal_repeat	182620	182959	+	YARWsigma1	
1	long_terminal_repeat	183142	183474	+	YARWdelta6	
1	gene	183770	184477	+	YAR027W	UIP3
1	CDS	183770	184477	+		
1	mRNA	183770	184477	+	YAR027W_mRNA	
1	gene	184892	185596	+	YAR028W	Dubious_ORF
1	CDS	184892	185596	+		
1	mRNA	184892	185596	+	YAR028W_mRNA	
1	gene	186321	186545	+	YAR029W	Dubious_ORF
1	CDS	186321	186545	+		
1	mRNA	186321	186545	+	YAR029W_mRNA	
1	gene	186512	186853	-	YAR030C	Dubious_ORF
1	CDS	186512	186853	-		
1	mRNA	186512	186853	-	YAR030C_mRNA	
1	gene	186836	187732	+	YAR031W	PRM9
1	CDS	186836	187732	+		
1	mRNA	186836	187732	+	YAR031W_mRNA	
1	gene	188107	188811	+	YAR033W	MST28
1	CDS	188107	188811	+		
1	mRNA	188107	188811	+	YAR033W_mRNA	
1	long_terminal_repeat	189426	189757	+	YARWdelta7	
1	gene	190193	192256	+	YAR035W	YAT1
1	CDS	190193	192256	+		
1	mRNA	190193	192256	+	YAR035W_mRNA	
1	gene	192337	192417	-	YAR035C-A	Dubious_ORF
1	CDS	192337	192417	-		
1	mRNA	192337	192417	-	YAR035C-A_mRNA	
1	gene	192619	196185	+	YAR042W	SWH1
1	CDS	192619	196185	+		
1	mRNA	192619	196185	+	YAR042W_mRNA	
1	gene	201467	201787	-	YAR047C	Dubious_ORF
1	CDS	201467	201787	-		
1	mRNA	201467	201787	-	YAR047C_mRNA	
1	gene	203403	208016	+	YAR050W	FLO1
1	CDS	203403	208016	+		
1	mRNA	203403	208016	+	YAR050W_mRNA	
1	gene	208367	208663	+	YAR053W	Dubious_ORF
1	CDS	208367	208663	+		
1	mRNA	208367	208663	+	YAR053W_mRNA	
1	long_terminal_repeat	209448	209778	-	YARCdelta8	
1	ARS	214888	215644	.	ARS111	
1	ARS_consensus_sequence	215012	215028	-	ARS111_ARS_consensus_sequence	
1	gene	217157	217492	-	YAR060C	Dubious_ORF
1	CDS	217157	217492	-		
1	mRNA	217157	217492	-	YAR060C_mRNA	
1	pseudogene	218140	219145	+	YAR061W	
1	gene	220198	220497	+	YAR064W	Dubious_ORF
1	CDS	220198	220497	+		
1	mRNA	220198	220497	+	YAR064W_mRNA	
1	gene	221049	221660	+	YAR066W	Dubious_ORF
1	CDS	221049	221660	+		
1	mRNA	221049	221660	+	YAR066W_mRNA	
1	gene	222406	222891	+	YAR068W	Dubious_ORF
1	CDS	222406	222891	+		
1	mRNA	222406	222891	+	YAR068W_mRNA	
1	ARS	222880	224046	.	ARS112	
1	gene	224011	224304	-	YAR069C	Dubious_ORF
1	CDS	224011	224304	-		
1	mRNA	224011	224304	-	YAR069C_mRNA	
1	gene	224563	224862	-	YAR070C	Dubious_ORF
1	CDS	224563	224862	-		
1	mRNA	224563	224862	-	YAR070C_mRNA	
1	region	225460	226863	+		
1	gene	225460	226863	+	YAR071W	PHO11
1	CDS	225460	226863	+		
1	mRNA	225460	226863	+	YAR071W_mRNA	
1	gene	227742	228953	+	YAR073W	IMD1
1	CDS	227742	228953	+		
1	mRNA	227742	228953	+	YAR073W_mRNA	
1	gene	228844	229317	+	YAR075W	Dubious_ORF
1	CDS	228844	229317	+		
1	mRNA	228844	229317	+	YAR075W_mRNA	
1	telomere	229411	230218	+	TEL01R	
1	X_element	229411	229871	+	TEL01R_X_element	
1	telomeric_repeat	230121	230218	+	TEL01R_telomeric_repeat	
2	chromosome	1	813184	.	2	
2	telomere	1	6608	-	TEL02L	
2	X_element	6139	6608	-	TEL02L_X_element	
2	X_element_combinatorial_repeat	5849	6138	-	TEL02L_X_element_combinatorial_repeat	
2	Y_prime_element	1	5848	-	TEL02L_Y_prime_element	
2	ARS	40	202	.	ARS200	
2	gene	280	2658	-	YBL113C	Dubious_ORF
2	CDS	280	2658	-		
2	mRNA	280	2658	-	YBL113C_mRNA	
2	gene	646	1128	+	YBL113W-A	Dubious_ORF
2	CDS	646	1128	+		
2	mRNA	646	1128	+	YBL113W-A_mRNA	
2	gene	2582	2899	-	YBL112C	Dubious_ORF
2	CDS	2582	2899	-		
2	mRNA	2582	2899	-	YBL112C_mRNA	
2	gene	2907	5009	-	YBL111C	Dubious_ORF
2	CDS	2907	4116	-		
2	CDS	4216	5009	-		
2	intron	4117	4215	-		
2	mRNA	2907	5009	-	YBL111C_mRNA	
2	gene	5790	6125	+	YBL109W	Dubious_ORF
2	CDS	5790	6125	+		
2	mRNA	5790	6125	+	YBL109W_mRNA	
2	ARS	6498	6620	.	ARS201	
2	gene	7605	7733	-	YBL108C-A	PAU9
2	CDS	7605	7733	-		
2	mRNA	7605	7733	-	YBL108C-A_mRNA	
2	gene	8177	8482	+	YBL108W	Dubious_ORF
2	CDS	8177	8482	+		
2	mRNA	8177	8482	+	YBL108W_mRNA	
2	long_terminal_repeat	8848	9092	+	YBLWdelta1	
2	long_terminal_repeat	9093	9424	+	YBLWdelta2	
2	gene	9268	9372	+	YBL107W-A	Dubious_ORF
2	CDS	9268	9372	+		
2	mRNA	9268	9372	+	YBL107W-A_mRNA	
2	long_terminal_repeat	9425	9518	+	YBLWdelta3	
2	tRNA_gene	9583	9666	+	tL%28UAA%29B1	
2	noncoding_exon	9583	9666	+		
2	gene	9961	10551	-	YBL107C	MIX23
2	CDS	9961	10551	-		
2	mRNA	9961	10551	-	YBL107C_mRNA	
2	gene	10847	13879	-	YBL106C	SRO77
2	CDS	10847	13879	-		
2	mRNA	10847	13879	-	YBL106C_mRNA	
2	gene	14241	17696	-	YBL105C	PKC1
2	CDS	14241	17696	-		
2	mRNA	14241	17696	-	YBL105C_mRNA	
2	gene	18177	21293	-	YBL104C	SEA4
2	CDS	18177	21293	-		
2	mRNA	18177	21293	-	YBL104C_mRNA	
2	gene	22076	23536	-	YBL103C	RTG3
2	CDS	22076	23536	-		
2	mRNA	22076	23536	-	YBL103C_mRNA	
2	gene	24098	24745	+	YBL102W	SFT2
2	CDS	24098	24745	+		
2	mRNA	24098	24745	+	YBL102W_mRNA	
2	gene	24946	28299	-	YBL101C	ECM21
2	CDS	24946	28299	-		
2	mRNA	24946	28299	-	YBL101C_mRNA	
2	gene	28427	28546	+	YBL100W-C	Dubious_ORF
2	CDS	28427	28546	+		
2	mRNA	28427	28546	+	YBL100W-C_mRNA	
2	ARS	28942	29160	.	ARS230	
2	long_terminal_repeat	29644	29975	+	YBLWdelta4	
2	LTR_retrotransposon	29644	35602	+	YBLWTy2-1	
2	transposable_element_gene	29935	31251	+	YBL100W-A	
2	CDS	29935	31251	+		
2	transposable_element_gene	29935	35248	+	YBL100W-B	
2	CDS	29935	31227	+		
2	CDS	31229	35248	+		
2	plus_1_translational_frameshift	31228	31228	+		
2	long_terminal_repeat	35271	35602	+	YBLWdelta5	
2	long_terminal_repeat	35604	35796	+	YBLWdelta6	
2	long_terminal_repeat	35851	36221	-	YBLCtau1	
2	tRNA_gene	36398	36488	+	tF%28GAA%29B	
2	intron	36435	36452	+		
2	noncoding_exon	36398	36434	+		
2	noncoding_exon	36453	36488	+		
2	gene	36989	37303	-	YBL100C	Dubious_ORF
2	CDS	36989	37303	-		
2	mRNA	36989	37303	-	YBL100C_mRNA	
2	gene	37053	38690	+	YBL099W	ATP1
2	CDS	37053	38690	+		
2	mRNA	37053	38690	+	YBL099W_mRNA	
2	gene	39145	40527	+	YBL098W	BNA4
2	CDS	39145	40527	+		
2	mRNA	39145	40527	+	YBL098W_mRNA	
2	gene	40831	43095	+	YBL097W	BRN1
2	CDS	40831	43095	+		
2	mRNA	40831	43095	+	YBL097W_mRNA	
2	gene	43174	43482	-	YBL096C	Dubious_ORF
2	CDS	43174	43482	-		
2	mRNA	43174	43482	-	YBL096C_mRNA	
2	gene	43277	44089	+	YBL095W	MRX3
2	CDS	43277	44089	+		
2	mRNA	43277	44089	+	YBL095W_mRNA	
2	gene	43765	44097	-	YBL094C	Dubious_ORF
2	CDS	43765	44097	-		
2	mRNA	43765	44097	-	YBL094C_mRNA	
2	gene	44256	44918	-	YBL093C	ROX3
2	CDS	44256	44918	-		
2	mRNA	44256	44918	-	YBL093C_mRNA	
2	gene	45645	46370	+	YBL092W	RPL32
2	CDS	45978	46370	+		
2	five_prime_UTR_intron	45645	45977	+		
2	mRNA	45645	46370	+	YBL092W_mRNA	
2	gene	46565	47180	-	YBL091C-A	SCS22
2	CDS	46565	47058	-		
2	CDS	47147	47180	-		
2	intron	47059	47146	-		
2	mRNA	46565	47180	-	YBL091C-A_mRNA	
2	gene	47363	48628	-	YBL091C	MAP2
2	CDS	47363	48628	-		
2	mRNA	47363	48628	-	YBL091C_mRNA	
2	gene	48825	49358	+	YBL090W	MRP21
2	CDS	48825	49358	+		
2	mRNA	48825	49358	+	YBL090W_mRNA	
2	gene	49574	50953	+	YBL089W	AVT5
2	CDS	49574	50953	+		
2	mRNA	49574	50953	+	YBL089W_mRNA	
2	gene	51019	59382	-	YBL088C	TEL1
2	CDS	51019	59382	-		
2	mRNA	51019	59382	-	YBL088C_mRNA	
2	gene	59822	60739	-	YBL087C	RPL23A
2	CDS	59822	60193	-		
2	CDS	60698	60739	-		
2	intron	60194	60697	-		
2	mRNA	59822	60739	-	YBL087C_mRNA	
2	gene	61202	62602	-	YBL086C	Dubious_ORF
2	CDS	61202	62602	-		
2	mRNA	61202	62602	-	YBL086C_mRNA	
2	ARS	63259	63381	.	ARS202	
2	gene	63876	66818	+	YBL085W	BOI1
2	CDS	63876	66818	+		
2	mRNA	63876	66818	+	YBL085W_mRNA	
2	gene	67169	69445	-	YBL084C	CDC27
2	CDS	67169	69445	-		
2	mRNA	67169	69445	-	YBL084C_mRNA	
2	gene	69713	70138	-	YBL083C	Dubious_ORF
2	CDS	69713	70138	-		
2	mRNA	69713	70138	-	YBL083C_mRNA	
2	gene	69751	71127	-	YBL082C	ALG3
2	CDS	69751	71127	-		
2	mRNA	69751	71127	-	YBL082C_mRNA	
2	gene	71866	72972	+	YBL081W	Dubious_ORF
2	CDS	71866	72972	+		
2	mRNA	71866	72972	+	YBL081W_mRNA	
2	gene	73070	74695	-	YBL080C	PET112
2	CDS	73070	74695	-		
2	mRNA	73070	74695	-	YBL080C_mRNA	
2	gene	75259	79767	+	YBL079W	NUP170
2	CDS	75259	79767	+		
2	mRNA	75259	79767	+	YBL079W_mRNA	
2	gene	80378	80731	-	YBL078C	ATG8
2	CDS	80378	80731	-		
2	mRNA	80378	80731	-	YBL078C_mRNA	
2	gene	80897	81328	+	YBL077W	Dubious_ORF
2	CDS	80897	81328	+		
2	mRNA	80897	81328	+	YBL077W_mRNA	
2	region	81043	84261	-		
2	gene	81043	84261	-	YBL076C	ILS1
2	CDS	81043	84261	-		
2	mRNA	81043	84261	-	YBL076C_mRNA	
2	gene	84499	86448	-	YBL075C	SSA3
2	CDS	84499	86448	-		
2	mRNA	84499	86448	-	YBL075C_mRNA	
2	gene	86722	87789	-	YBL074C	AAR2
2	CDS	86722	87789	-		
2	mRNA	86722	87789	-	YBL074C_mRNA	
2	gene	87646	87957	+	YBL073W	Dubious_ORF
2	CDS	87646	87957	+		
2	mRNA	87646	87957	+	YBL073W_mRNA	
2	snoRNA_gene	88190	88277	+	snR56	SNR56
2	noncoding_exon	88190	88277	+		
2	gene	88523	89440	-	YBL072C	RPS8A
2	CDS	88523	89125	-		
2	five_prime_UTR_intron	89133	89440	-		
2	mRNA	88523	89440	-	YBL072C_mRNA	
2	gene	89458	89556	-	YBL071C-B	Dubious_ORF
2	CDS	89458	89556	-		
2	mRNA	89458	89556	-	YBL071C-B_mRNA	
2	gene	89978	90226	+	YBL071W-A	KTI11
2	CDS	89978	90226	+		
2	mRNA	89978	90226	+	YBL071W-A_mRNA	
2	gene	90223	90531	-	YBL071C	Dubious_ORF
2	CDS	90223	90531	-		
2	mRNA	90223	90531	-	YBL071C_mRNA	
