CHROM	HS_START	HS_END	LENGTH	HITS	FEATURE_NAME	NAME	midpoint	Type	Direction	IGR	IGR.Start	IGR.End
1	68012	68714	703	1313	YAL039C	CYC3	68363	directional	-,-	YAL040C_YAL039C	67521	68716
1	69614	69950	337	964	YAL039C	CYC3	69782	divergent	-,+	YAL039C_YAL038W	69526	71786
1	70373	70454	82	52	ARS106	null	70413.5	divergent	-,+	YAL039C_YAL038W	69526	71786
1	70787	71508	722	1241	YAL038W	CDC19	71147.5	divergent	-,+	YAL039C_YAL038W	69526	71786
1	74903	75108	206	176	YAL036C	RBG1	75005.5	convergent	+,-	YAL037W_YAL036C	74824	75043
1	76175	76428	254	532	YAL035W	FUN12	76301.5	divergent	-,+	YAL036C_YAL035W	76153	76427
1	79555	79593	39	28	YAL035W	FUN12	79574	directional	+,+	YAL035W_YAL034W-A	79436	79718
1	81983	82307	325	1079	YAL034C	FUN19	82145	divergent	-,+	YAL034C_YAL033W	81952	82706
1	82543	82731	189	447	YAL033W	POP5	82637	divergent	-,+	YAL034C_YAL033W	81952	82706
1	83421	83566	146	120	YAL032C	PRP45	83493.5	NA	NA	NA	NA	NA
1	84500	84684	185	243	YAL032C	PRP45	84592	directional	-,-	YAL032C_YAL031C	84475	84749
1	87053	87303	251	461	YAL030W	SNC1	87178	divergent	-,+	YAL031C_YAL030W	87032	87286
1	92280	92884	605	1513	YAL029C	MYO4	92582	divergent	-,+	YAL029C_YAL028W	92271	92900
1	94462	94591	130	109	YAL028W	FRT2	94526.5	directional	+,+	YAL028W_YAL027W	94487	94687
1	99890	99961	72	80	HRA1	HRA1	99925.5	directional	-,-	YAL026C_YAL025C	99698	100225
1	101204	101375	172	143	YAL025C	MAK16	101289.5	directional	-,-	YAL025C_YAL024C	101146	101565
1	106023	106146	124	121	YAL023C	PMT2	106084.5	directional	-,-	YAL024C_YAL023C	105873	106272
1	108668	108913	246	651	YAL022C	FUN26	108790.5	directional	-,-	YAL023C_YAL022C	108552	108877
1	110440	110614	175	211	YAL022C	FUN26	110527	directional	-,-	YAL022C_YAL021C	110431	110846
1	113411	113617	207	495	YAL020C	ATS1	113514	directional	-,-	YAL021C_YAL020C	113360	113614
1	113917	114039	123	83	YAL020C	ATS1	113978	NA	NA	NA	NA	NA
1	114599	114824	226	364	YAL020C	ATS1	114711.5	divergent	-,+	YAL020C_YAL019W	114616	114919
1	119627	119880	254	574	YAL018C	null	119753.5	divergent	-,+	YAL018C_YAL017W	119542	120225
1	124603	124711	109	66	ARS107	null	124657	directional	+,+	YAL017W_YAL016W	124296	124879
1	128061	128262	202	360	YAL014C	SYN8	128161.5	directional	-,-	YAL015C_YAL014C	128103	128252
1	129021	129300	280	2274	YAL013W	DEP1	129160.5	divergent	-,+	YAL014C_YAL013W	129020	129270
1	130494	130772	279	3554	YAL013W	DEP1	130633	directional	+,+	YAL013W_YAL012W	130533	130801
1	131975	132197	223	947	YAL012W	CYS3	132086	directional	+,+	YAL012W_YAL011W	131986	132201
1	135737	135788	52	28	YAL009W	SPO7	135762.5	divergent	-,+	YAL010C_YAL009W	135667	135855
1	136697	136857	161	175	YAL008W	FUN14	136777	directional	+,+	YAL009W_YAL008W	136635	136915
1	138465	138679	215	338	YAL007C	ERP2	138572	directional	-,-	YAL007C_YAL005C	138347	139504
1	139261	139654	394	542	YAL005C	SSA1	139457.5	directional	-,-	YAL007C_YAL005C	138347	139504
1	141638	142069	432	1363	YAL003W	EFB1	141853.5	divergent	-,+	YAL005C_YAL003W	141433	142175
1	143391	143625	234	455	YAL002W	VPS8	143508	directional	+,+	YAL003W_YAL002W	143162	143708
1	152041	152189	149	125	YAR002W	NUP60	152115	divergent	-,+	YAL001C_YAR002W	151168	152258
1	154757	154917	161	243	YAR002C-A	ERP1	154837	divergent	-,+	YAR002C-A_YAR003W	154726	155006
1	158682	158886	205	420	YAR007C	RFA1	158784	divergent	-,+	YAR007C_YAR008W	158621	158966
1	169015	169235	221	811	YAR015W	ADE1	169125	divergent	-,+	YAR014C_YAR015W	168866	169369
1	170720	170922	203	231	YAR018C	KIN3	170821	NA	NA	NA	NA	NA
1	171780	171928	148	101	YAR018C	KIN3	171854	directional	-,-	YAR018C_YAR019C	171698	172208
1	175160	175309	149	108	YAR019C	CDC15	175234.5	directional	-,-	YAR019C_YAR020C	175133	176853
1	179728	179809	82	56	YAR023C	null	179768.5	NA	NA	NA	NA	NA
1	180098	180588	491	365	YAR023C	null	180343	divergent	-,+	YAR023C_YAR027W	179818	183763
1	180994	181387	394	384	tS(AGA)A	null	181190.5	divergent	-,+	YAR023C_YAR027W	179818	183763
1	182979	183058	80	95	YARWsigma1	null	183018.5	divergent	-,+	YAR023C_YAR027W	179818	183763
1	184643	184790	148	122	YAR028W	null	184716.5	directional	+,+	YAR027W_YAR028W	184471	184885
1	189729	191685	1957	3647	YAR035W	YAT1	190707	NA	NA	NA	NA	NA
1	191983	192550	568	869	YAR035W	YAT1	192266.5	convergent	+,-	YAR035W_YAR035C-A	192250	192330
1	198392	198879	488	1265	YAR042W	SWH1	198635.5	directional	+,+	YAR042W_YAR050W	196179	203393
1	202365	202829	465	512	YAR050W	FLO1	202597	directional	+,+	YAR042W_YAR050W	196179	203393
2	10537	10741	205	415	YBL107C	null	10639	directional	-,-	YBL107C_YBL106C	10551	10846
2	18014	18128	115	83	YBL104C	null	18071	directional	-,-	YBL105C_YBL104C	17696	18176
2	21381	21458	78	56	YBL104C	null	21419.5	directional	-,-	YBL104C_YBL103C	21293	22074
2	23802	23990	190	150	YBL102W	SFT2	23896	divergent	-,+	YBL103C_YBL102W	23535	24097
2	28412	29079	665	1347	ARS230	null	28745.5	directional_overlapping	+,+	YBL100W-C_YBL100W-B	28546	29931
2	29363	29449	87	72	YBLWdelta4	null	29406	directional_overlapping	+,+	YBL100W-C_YBL100W-B	28546	29931
2	36502	36696	195	189	tF(GAA)B	null	36599	directional_overlapping	+,+	YBL100W-A_YBL099W	31248	37049
2	40596	40705	110	82	YBL098W	BNA4	40650.5	directional	+,+	YBL098W_YBL097W	40524	40827
2	45014	45480	467	1213	YBL093C	ROX3	45247	divergent	-,+	YBL093C_YBL092W	44915	45641
2	47181	47376	196	225	YBL091C	MAP2	47278.5	directional	-,-	YBL091C-A_YBL091C	47177	47359
2	48638	48820	183	373	YBL090W	MRP21	48729	divergent	-,+	YBL091C_YBL090W	48625	48821
2	49371	49593	223	476	YBL089W	AVT5	49482	directional	+,+	YBL090W_YBL089W	49355	49570
2	60841	61028	188	282	YBL087C	RPL23A	60934.5	directional	-,-	YBL087C_YBL086C	60735	61198
2	62678	62948	271	788	YBL086C	null	62813	divergent	-,+	YBL086C_YBL085W	62599	63872
2	69540	69875	336	891	YBL082C	ALG3	69707.5	directional	-,-	YBL084C_YBL082C	69442	69747
2	71131	71603	473	3455	YBL082C	ALG3	71367	divergent	-,+	YBL082C_YBL081W	71124	71862
2	74620	75223	604	2421	YBL080C	PET112	74921.5	divergent	-,+	YBL080C_YBL079W	74692	75255
2	80798	80965	168	127	YBL078C	ATG8	80881.5	directional	-,-	YBL078C_YBL076C	80728	81040
2	84356	84506	151	105	YBL075C	SSA3	84431	directional	-,-	YBL076C_YBL075C	84259	84496
2	88093	88242	150	234	snR56	SNR56	88167.5	directional	-,-	YBL074C_YBL072C	87787	88520
2	89672	89959	288	366	YBL071W-A	KTI11	89815.5	divergent	-,+	YBL071C-B_YBL071W-A	89554	89975
2	90489	90600	112	101	YBL069W	AST1	90544.5	directional	+,+	YBL071W-A_YBL069W	90224	90738
2	96202	96352	151	145	YBL066C	SEF1	96277	directional	-,-	YBL067C_YBL066C	95884	96670
2	100193	100372	180	212	YBL064C	PRX1	100282.5	directional	-,-	YBL066C_YBL064C	100117	100372
2	101202	101840	639	944	YBL063W	KIP1	101521	divergent	-,+	YBL064C_YBL063W	101158	101887
2	107508	107909	402	581	YBL060W	YEL1	107708.5	divergent	-,+	YBL061C_YBL060W	107408	107933
2	111263	111377	115	68	YBL059W	null	111320	directional	+,+	YBL059W_YBL058W	111246	111438
2	113489	113598	110	84	YBL057C	PTH2	113543.5	divergent	-,+	YBL057C_YBL056W	113447	113764
2	116915	117395	481	920	YBL055C	null	117155	divergent	-,+	YBL055C_YBL054W	116832	117591
2	122150	122352	203	297	YBL052C	SAS3	122251	directional	-,-	YBL052C_YBL051C	121877	122755
2	124826	125062	237	900	YBL050W	SEC17	124944	divergent	-,+	YBL051C_YBL050W	124762	125127
2	126099	126624	526	1772	YBL050W	SEC17	126361.5	directional	+,+	YBL050W_YBL049W	126122	126830
2	132200	132376	177	443	YBL046W	PSY4	132288	divergent	-,+	YBL047C_YBL046W	132043	132426
2	134637	134791	155	89	YBL045C	COR1	134714	NA	NA	NA	NA	NA
2	135737	136459	723	1218	YBL045C	COR1	136098	NA	NA	NA	NA	NA
2	140491	141140	650	668	YBL041W	PRE7	140815.5	divergent	-,+	YBL042C_YBL041W	140263	141249
2	142939	143095	157	125	YBL040C	ERD2	143017	divergent	-,+	YBL040C_YBL039W-B	142871	143395
2	145824	146103	280	364	YBL038W	MRPL16	145963.5	divergent	-,+	YBL039C_YBL038W	145731	146189
2	146933	147083	151	167	YBL038W	MRPL16	147008	directional	+,+	YBL038W_YBL037W	146888	147211
2	151229	151463	235	808	YBL036C	null	151346	directional	-,-	YBL036C_YBL035C	151223	151495
2	153736	153933	198	289	YBL034C	STU1	153834.5	directional	-,-	YBL035C_YBL034C	153613	153850
2	158475	158652	178	280	YBL033C	RIB1	158563.5	directional	-,-	YBL034C_YBL033C	158392	158658
2	159701	160124	424	1567	YBL033C	RIB1	159912.5	divergent	-,+	YBL033C_YBL032W	159696	160186
2	161514	161608	95	82	YBL031W	SHE1	161561	directional	+,+	YBL032W_YBL031W	161332	161701
2	164177	164434	258	168	YBL029C-A	null	164305.5	directional	-,-	YBL030C_YBL029C-A	164000	164490
2	164923	165118	196	138	YBL029C-A	null	165020.5	divergent	-,+	YBL029C-A_YBL029W	164775	166136
2	165378	165927	550	502	YBL029W	null	165652.5	divergent	-,+	YBL029C-A_YBL029W	164775	166136
2	167922	168043	122	102	YBL028C	null	167982.5	divergent	-,+	YBL028C_YBL027W	167841	168425
2	170133	170556	424	482	ARS207	null	170344.5	directional	+,+	YBL027W_YBL026W	169379	170625
2	171240	171444	205	330	YBL025W	RRN10	171342	directional	+,+	YBL026W_YBL025W	171041	171483
2	172279	172476	198	212	YBL024W	NCL1	172377.5	directional	+,+	YBL025W_YBL024W	171921	172536
2	177672	177814	143	184	YBL022C	PIM1	177743	directional	-,-	YBL023C_YBL022C	177529	177876
2	181372	181604	233	249	YBL021C	HAP3	181488	directional	-,-	YBL022C_YBL021C	181278	181662
2	182085	182294	210	521	YBL021C	HAP3	182189.5	divergent	-,+	YBL021C_YBL020W	182097	182403
2	191821	192347	527	424	YBL016W	FUS3	192084	divergent	-,+	YBL017C_YBL016W	191586	192453
2	193098	194044	947	2661	YBL016W	FUS3	193571	directional	+,+	YBL016W_YBL015W	193515	194124
2	195914	196272	359	677	YBL015W	ACH1	196093	convergent	+,-	YBL015W_YBL014C	195705	199066
2	201897	202007	111	86	YBL013W	FMT1	201952	divergent	-,+	YBL014C_YBL013W	201751	202058
2	202286	202482	197	169	YBL013W	FMT1	202384	NA	NA	NA	NA	NA
2	202898	202947	50	35	YBL013W	FMT1	202922.5	NA	NA	NA	NA	NA
2	203158	203324	167	88	YBL013W	FMT1	203241	NA	NA	NA	NA	NA
2	206971	207163	193	285	YBL010C	null	207067	divergent	-,+	YBL010C_YBL009W	206952	207196
2	209428	209539	112	79	YBL008W-A	null	209483.5	NA	NA	NA	NA	NA
2	216449	216832	384	640	YBL006C	LDB7	216640.5	NA	NA	NA	NA	NA
2	217102	217507	406	2882	YBL005W	PDR3	217304.5	divergent	-,+	YBL006C_YBL005W	217132	217472
2	220780	220851	72	47	YBLWdelta8	null	220815.5	directional_overlapping	+,+	YBL005W_YBL005W-B	220403	221332
2	227325	227443	119	121	tS(AGA)B	null	227384	directional_overlapping	+,+	YBL005W-A_YBL004W	222655	227638
2	236004	236334	331	286	YBL002W	HTB2	236169	divergent	-,+	YBL003C_YBL002W	235795	236494
2	241427	241658	232	456	YBR002C	RER2	241542.5	directional	-,-	YBR001C_YBR002C	241285	241709
2	242572	242753	182	243	YBR002C	RER2	242662.5	divergent	-,+	YBR002C_YBR003W	242570	242810
2	246687	246863	177	141	YBR005W	RCR1	246775	directional	+,+	YBR005W_YBR006W	246549	247011
2	251040	251593	554	1643	YBR007C	DSF2	251316.5	directional	-,-	YBR007C_YBR008C	251017	252563
2	254964	255109	146	84	ARS209	ARS209	255036.5	directional	-,-	YBR008C_YBR009C	254210	255370
2	255880	256222	343	304	YBR010W	HHT1	256051	divergent	-,+	YBR009C_YBR010W	255682	256328
2	258052	258281	230	994	YBR011C	IPP1	258166.5	divergent_overlapping	-,+	YBR011C_YBR012W-B	257973	259866
2	269731	270126	396	348	YBR016W	null	269928.5	divergent	-,+	YBR015C_YBR016W	269503	270246
2	288088	288642	555	1585	YBR023C	CHS3	288365	divergent	-,+	YBR023C_YBR024W	287925	289444
2	289174	289275	102	61	YBR024W	SCO2	289224.5	divergent	-,+	YBR023C_YBR024W	287925	289444
2	292041	292465	425	803	YBR025C	OLA1	292253	directional	-,-	YBR025C_YBR026C	291865	292876
2	296125	296285	161	326	YBR029C	CDS1	296205	directional	-,-	YBR028C_YBR029C	296002	296368
2	297826	298210	385	734	YBR030W	RKM3	298018	divergent	-,+	YBR029C_YBR030W	297742	298291
2	299999	300082	84	54	YBR030W	RKM3	300040.5	directional	+,+	YBR030W_YBR031W	299950	300165
2	301315	301808	494	2284	YBR031W	RPL4A	301561.5	directional	+,+	YBR031W_YBR033W	301254	301943
2	306032	306227	196	251	YBR035C	PDX3	306129.5	directional	-,-	YBR034C_YBR035C	305976	306268
2	307081	307552	472	367	TLC1	TLC1	307316.5	directional	-,-	YBR035C_YBR036C	306955	309080
2	308042	308274	233	217	TLC1	TLC1	308158	directional	-,-	YBR035C_YBR036C	306955	309080
2	311487	311637	151	321	YBR037C	SCO1	311562	divergent	-,+	YBR037C_YBR038W	311451	311896
2	315401	315472	72	58	YBR039W	ATP3	315436.5	directional	+,+	YBR038W_YBR039W	314788	315574
2	318028	318155	128	154	YBR041W	FAT1	318091.5	directional	+,+	YBR040W_YBR041W	317864	318265
2	321705	321808	104	86	YBR043C	QDR3	321756.5	directional	-,-	YBR042C_YBR043C	321609	321875
2	324093	324341	249	661	YBR044C	TCM62	324217	directional	-,-	YBR043C_YBR044C	323945	324336
2	326173	326314	142	146	ARS211	null	326243.5	directional	-,-	YBR044C_YBR045C	326058	328368
2	326708	326817	110	84	tV(UAC)B	null	326762.5	directional	-,-	YBR044C_YBR045C	326058	328368
2	330319	330360	42	56	YBR046C	ZTA1	330339.5	directional	-,-	YBR045C_YBR046C	330090	330504
2	331551	331756	206	259	YBR046C	ZTA1	331653.5	divergent	-,+	YBR046C_YBR047W	331509	331830
2	332545	332691	147	126	YBR048W	RPS11B	332618	directional	+,+	YBR047W_YBR048W	332358	332828
2	336931	337182	252	246	YBR050C	REG2	337056.5	directional	-,-	YBR049C_YBR050C	336816	337180
2	338395	338681	287	727	YBR052C	RFS1	338538	directional	-,-	YBR050C_YBR052C	338197	338717
2	340887	340957	71	75	YBR053C	null	340922	divergent	-,+	YBR053C_YBR054W	340749	343098
2	341299	341954	656	722	YBR053C	null	341626.5	divergent	-,+	YBR053C_YBR054W	340749	343098
2	342264	342349	86	53	YBR054W	YRO2	342306.5	divergent	-,+	YBR053C_YBR054W	340749	343098
2	344186	344334	149	165	YBR054W	YRO2	344260	convergent	+,-	YBR054W_YBR055C	344133	344599
2	347384	347770	387	242	YBR055C	PRP6	347577	divergent	-,+	YBR055C_YBR056W	347299	347876
2	350743	351076	334	1170	YBRWdelta17	null	350909.5	convergent	+,-	YBR056W_YBR057C	349382	352190
2	356616	356821	206	333	YBR059C	AKL1	356718.5	directional	-,-	YBR058C-A_YBR059C	356564	356858
2	360344	360590	247	409	YBR060C	ORC2	360467	directional	-,-	YBR059C_YBR060C	360185	360649
2	362669	362818	150	139	YBR060C	ORC2	362743.5	directional	-,-	YBR060C_YBR061C	362512	364784
2	369841	369945	105	119	YBR066C	NRG2	369893	directional	-,-	YBR065C_YBR066C	369676	370034
2	370974	371452	478	642	YBR066C	NRG2	371213	directional	-,-	YBR066C_YBR067C	370697	372099
2	373295	373395	101	72	YBR068C	BAP2	373345	directional	-,-	YBR067C_YBR068C	372732	373857
2	376136	376270	135	81	YBR069C	TAT1	376203	directional	-,-	YBR068C_YBR069C	375687	376570
2	378750	379038	289	512	ARS212	null	378894	directional	-,-	YBR069C_YBR070C	378430	379217
2	379991	380195	205	652	YBR070C	ALG14	380093	divergent	-,+	YBR070C_YBR071W	379931	380407
2	381124	381398	275	247	YBR071W	null	381261	directional	+,+	YBR071W_YBR072W	381043	382026
2	382964	383079	116	67	YBR072C-A	null	383021.5	divergent	-,+	YBR072C-A_YBR073W	383016	383208
2	391612	391795	184	191	YBR077C	SLM4	391703.5	convergent	+,-	YBR076W_YBR077C	391388	391798
2	392374	392797	424	874	YBR077C	SLM4	392585.5	divergent	-,+	YBR077C_YBR078W	392287	393117
2	393192	393378	187	255	YBR078W	ECM33	393285	NA	NA	NA	NA	NA
2	400971	401106	136	96	YBR080C	SEC18	401038.5	directional	-,-	YBR080C_YBR081C	400884	401246
2	407289	407536	248	512	YBR082C	UBC4	407412.5	divergent	-,+	YBR082C_YBR083W	407163	409162
2	408594	408834	241	309	YBR083W	TEC1	408714	divergent	-,+	YBR082C_YBR083W	407163	409162
2	410767	410928	162	215	YBR084W	MIS1	410847.5	directional	+,+	YBR083W_YBR084W	410623	411047
2	418238	418365	128	71	ARS215	null	418301.5	convergent	+,-	YBR085W_YBR085C-A	416900	418900
2	419340	420015	676	402	YBR085C-A	null	419677.5	directional	-,-	YBR085C-A_YBR086C	419158	420194
2	423405	423520	116	94	YBR087W	RFC5	423462.5	divergent	-,+	YBR086C_YBR087W	423035	423758
2	426889	427029	141	130	YBR090C	null	426959	NA	NA	NA	NA	NA
2	429309	429450	142	116	YBR093C	PHO5	429379.5	directional	-,-	YBR092C_YBR093C	429095	429541
2	431282	431927	646	978	YBR094W	PBY1	431604.5	divergent	-,+	YBR093C_YBR094W	430945	432029
2	435741	435945	205	376	YBR095C	RXT2	435843	divergent	-,+	YBR095C_YBR096W	435692	436014
2	444779	444919	141	173	YBR101C	FES1	444849	directional	-,-	YBR101C_YBR102C	444687	445055
2	447411	447536	126	120	YBR102C	EXO84	447473.5	divergent	-,+	YBR102C_YBR103W	447317	447702
2	449320	449555	236	564	YBR103W	SIF2	449437.5	directional	+,+	YBR103W_YBR104W	449310	449660
2	452074	452608	535	2032	YBR106W	PHO88	452341	divergent	-,+	YBR105C_YBR106W	451963	452651
2	453422	453593	172	204	YBR106W	PHO88	453507.5	convergent	+,-	YBR106W_YBR107C	453218	453786
2	454580	454793	214	309	YBR108W	AIM3	454686.5	divergent	-,+	YBR107C_YBR108W	454524	454815
2	458464	458775	312	221	YBR110W	ALG1	458619.5	divergent	-,+	YBR109C_YBR110W	458356	458865
2	462030	462081	52	31	YBR111W-A	SUS1	462055.5	divergent	-,+	YBR111C_YBR111W-A	461867	462132
2	465992	466595	604	1450	YBR112C	CYC8	466293.5	divergent	-,+	YBR112C_YBR114W	465764	467241
2	466905	467075	171	143	YBR114W	RAD16	466990	divergent	-,+	YBR112C_YBR114W	465764	467241
2	471020	471183	164	123	YBR115C	LYS2	471101.5	NA	NA	NA	NA	NA
2	472114	472349	236	589	YBR115C	LYS2	472231.5	NA	NA	NA	NA	NA
2	474035	474324	290	945	YBR117C	TKL2	474179.5	directional	-,-	YBR115C_YBR117C	473920	474385
2	476700	477584	885	2535	YBR118W	TEF2	477142	divergent	-,+	YBR117C_YBR118W	476431	477664
2	483590	483711	122	93	YBR121C	GRS1	483650.5	directional	-,-	YBR121C_YBR122C	483361	483963
2	484638	484720	83	75	YBR123C	TFC1	484679	directional	-,-	YBR122C_YBR123C	484497	484735
2	488595	488771	177	247	YBR126C	TPS1	488683	directional	-,-	YBR125C_YBR126C	488374	488898
2	490508	491189	682	1803	YBR127C	VMA2	490848.5	directional	-,-	YBR126C_YBR127C	490386	491262
2	492875	493116	242	797	YBR128C	ATG14	492995.5	directional	-,-	YBR127C_YBR128C	492816	493074
2	494216	494296	81	65	YBR129C	OPY1	494256	directional	-,-	YBR128C_YBR129C	494109	494346
2	495402	495506	105	84	YBR129C	OPY1	495454	directional	-,-	YBR129C_YBR130C	495333	495585
2	496905	497120	216	512	YBR130C	SHE3	497012.5	divergent	-,+	YBR130C_YBR131W	496863	497156
2	501596	501915	320	3077	YBR133C	HSL7	501755.5	directional	-,-	YBR132C_YBR133C	501436	501797
2	502266	502614	349	276	YBR133C	HSL7	502440	NA	NA	NA	NA	NA
2	504446	504774	329	1079	YBR135W	CKS1	504610	divergent	-,+	YBR133C_YBR135W	504281	504847
2	505427	505612	185	252	YBR136W	MEC1	505519.5	directional	+,+	YBR135W_YBR136W	505300	505661
2	515406	515656	251	1185	YBR139W	null	515531	divergent	-,+	YBR138C_YBR139W	515330	515657
2	526932	527139	208	357	YBR141C	null	527035.5	NA	NA	NA	NA	NA
2	528067	528220	154	191	YBR141C	null	528143.5	divergent	-,+	YBR141C_YBR142W	528032	528310
2	532280	532504	225	534	YBR143C	SUP45	532392	divergent	-,+	YBR143C_YBR145W	532176	533755
2	533431	533638	208	615	YBR145W	ADH5	533534.5	divergent	-,+	YBR143C_YBR145W	532176	533755
2	534984	535170	187	235	YBR146W	MRPS9	535077	directional	+,+	YBR145W_YBR146W	534811	535253
2	536270	536364	95	85	YBR146W	MRPS9	536317	directional	+,+	YBR146W_YBR147W	536090	536568
2	537511	537737	227	512	YBR147W	RTC2	537624	directional	+,+	YBR147W_YBR148W	537459	537869
2	539730	539923	194	403	YBR148W	YSW1	539826.5	directional	+,+	YBR148W_YBR149W	539699	539980
2	544546	544911	366	403	YBR150C	TBS1	544728.5	divergent	-,+	YBR150C_YBR151W	544487	545021
2	546218	546262	45	41	YBR152W	SPP381	546240	directional	+,+	YBR151W_YBR152W	545972	546369
2	549160	549218	59	31	YBR154C	RPB5	549189	divergent	-,+	YBR154C_YBR155W	549003	549764
2	549539	549662	124	105	YBR155W	CNS1	549600.5	divergent	-,+	YBR154C_YBR155W	549003	549764
2	553323	553392	70	44	YBR156C	SLI15	553357.5	directional	-,-	YBR156C_YBR157C	553194	553536
2	554829	554930	102	69	YBR157C	ICS2	554879.5	divergent	-,+	YBR157C_YBR158W	554304	556542
2	555202	555906	705	641	YBR158W	AMN1	555554	divergent	-,+	YBR157C_YBR158W	554304	556542
2	561079	561267	189	198	YBR160W	CDC28	561173	directional	+,+	YBR160W_YBR161W	560968	561628
2	564916	565218	303	1067	YBR162W-A	YSY6	565067	divergent	-,+	YBR162C_YBR162W-A	564565	565225
2	568532	568702	171	208	YBR164C	ARL1	568617	divergent	-,+	YBR164C_YBR165W	568421	568846
2	578157	578248	92	47	YBR170C	NPL4	578202.5	divergent	-,+	YBR170C_YBR171W	578081	578358
2	581523	581687	165	180	YBR173C	UMP1	581605	directional	-,-	YBR172C_YBR173C	581367	581720
2	582183	582400	218	661	YBR175W	SWD3	582291.5	divergent	-,+	YBR173C_YBR175W	582167	582402
2	586267	586496	230	546	YBR179C	FZO1	586381.5	directional	-,-	YBR177C_YBR179C	586157	586541
2	589275	589398	124	137	YBR179C	FZO1	589336.5	divergent	-,+	YBR179C_YBR180W	589109	589735
2	595640	595933	294	312	YBR182C-A	null	595786.5	divergent	-,+	YBR182C-A_YBR183W	595550	596109
2	600072	600494	423	297	YBR186W	PCH2	600283	divergent	-,+	YBR185C_YBR186W	599954	600547
2	612018	612064	47	53	YBR195C	MSI1	612041	directional	-,-	YBR195C_YBR196C	611877	612230
2	614297	614358	62	53	YBR196C-A	null	614327.5	directional	-,-	YBR196C-A_YBR196C-B	614168	614520
2	615191	615255	65	61	YBR197C	null	615223	NA	NA	NA	NA	NA
2	618590	618819	230	608	YBR198C	TAF5	618704.5	divergent	-,+	YBR198C_YBR199W	618518	618903
2	620556	620807	251	302	YBR200W	BEM1	620681.5	directional	+,+	YBR199W_YBR200W	620298	620866
2	624912	625542	630	442	YBR201C-A	null	625227	divergent	-,+	YBR201C-A_YBR202W	624692	625766
2	628532	628850	319	251	YBR202W	MCM7	628691	directional	+,+	YBR202W_YBR203W	628304	629162
2	633426	633605	180	198	YBR205W	KTR3	633515.5	divergent	-,+	YBR204C_YBR205W	633376	633616
2	634815	635080	266	969	YBR205W	KTR3	634947.5	directional	+,+	YBR205W_YBR207W	634831	635140
2	642475	643225	751	5739	YBRCtau2	null	642850	divergent	-,+	YBR208C_YBR210W	642205	645544
2	645415	645483	68	41	YBR210W	ERV15	645449	divergent	-,+	YBR208C_YBR210W	642205	645544
2	647247	647436	190	208	YBR211C	AME1	647341.5	divergent	-,+	YBR211C_YBR212W	647127	647880
2	650078	650286	209	349	YBR213W	MET8	650182	directional	+,+	YBR212W_YBR213W	649899	650362
2	651083	651370	288	950	YBR213W	MET8	651226.5	directional	+,+	YBR213W_YBR214W	651187	651409
2	653144	653268	125	232	YBR215W	HPC2	653206	directional	+,+	YBR214W_YBR215W	652993	653350
2	662271	662898	628	2532	YBR219C	null	662584.5	NA	NA	NA	NA	NA
