uID	Chr	Position
685	13	775340
686	13	779050
687	13	803320
688	13	805050
689	13	826615
690	13	839825
691	13	855545
692	13	858060
693	13	864210
694	13	889055
695	13	918260
696	13	923265
697	14	875
698	14	10455
699	14	16270
700	14	17540
701	14	38380
702	14	43080
703	14	49455
704	14	53905
705	14	71490
706	14	95245
707	14	121365
708	14	126240
709	14	144175
710	14	157360
711	14	166960
712	14	179610
713	14	196225
714	14	215780
715	14	236040
716	14	254140
717	14	256695
718	14	260780
719	14	292090
720	14	299650
721	14	316435
722	14	343555
723	14	359570
724	14	368600
725	14	379520
726	14	390350
727	14	397675
728	14	410085
729	14	420710
730	14	437585
731	14	469910
732	14	476505
733	14	486510
734	14	493905
735	14	505510
736	14	512415
737	14	533965
738	14	539690
739	14	561165
740	14	583610
741	14	612210
742	14	616150
743	14	621125
744	14	624690
745	14	628810
746	14	638750
747	14	643745
748	14	648815
749	14	654625
750	14	672455
751	14	680555
752	14	692630
753	14	697255
754	14	713280
755	14	716510
756	14	750300
757	14	771120
758	15	1305
759	15	15215
760	15	22840
761	15	45790
762	15	60200
763	15	78540
764	15	81080
765	15	89675
766	15	123110
767	15	132665
768	15	150380
769	15	189705
770	15	197280
771	15	199925
772	15	213450
773	15	224280
774	15	238460
775	15	240410
776	15	248615
777	15	251305
778	15	265965
779	15	269550
780	15	280480
781	15	294795
782	15	300105
783	15	308390
784	15	321500
785	15	326485
786	15	333665
787	15	372450
788	15	392100
789	15	414295
790	15	433480
791	15	451560
792	15	455840
793	15	469240
794	15	476855
795	15	483330
796	15	489765
797	15	497420
798	15	506650
799	15	538890
800	15	548265
801	15	564290
802	15	581845
803	15	589965
804	15	608960
805	15	612790
806	15	626215
807	15	636785
808	15	651665
809	15	659800
810	15	697745
811	15	715505
812	15	718730
813	15	725805
814	15	729560
815	15	736375
816	15	738750
817	15	751920
818	15	766895
819	15	778535
820	15	788725
821	15	793805
822	15	798610
823	15	822270
824	15	827625
825	15	834100
826	15	855040
827	15	874320
828	15	889905
829	15	913380
830	15	918420
831	15	936550
832	15	966270
833	15	985330
834	15	992105
835	15	1009250
836	15	1012960
837	15	1028040
838	15	1041620
839	15	1048290
840	15	1053430
841	15	1060075
842	15	1078285
843	15	1083500
844	15	1090500
845	16	1175
846	16	7505
847	16	12955
848	16	43160
849	16	50955
850	16	53355
851	16	61750
852	16	73105
853	16	90150
854	16	120230
855	16	126475
856	16	139690
857	16	148225
858	16	162355
859	16	167625
860	16	182490
861	16	192830
862	16	212915
863	16	219980
864	16	232830
865	16	239065
866	16	250545
867	16	276150
868	16	283045
869	16	317390
870	16	323790
871	16	331865
872	16	341030
873	16	350015
874	16	377105
875	16	396860
876	16	422550
877	16	436570
878	16	443415
879	16	445470
880	16	460520
881	16	472850
882	16	500320
883	16	510420
884	16	525290
885	16	533330
886	16	541965
887	16	550190
888	16	555820
889	16	561370
890	16	577805
891	16	600595
892	16	619275
893	16	624390
894	16	637375
895	16	650310
896	16	660700
897	16	675180
898	16	692620
899	16	702275
900	16	708485
901	16	711465
902	16	716055
903	16	728730
904	16	733505
905	16	749955
906	16	767755
907	16	773575
908	16	804315
909	16	815565
910	16	824395
911	16	835465
912	16	851355
913	16	864370
914	16	876220
915	16	886175
916	16	893855
917	16	897090
918	16	909740
919	16	917060
920	16	924635
921	17	100
922	17	10000
923	17	20000
924	17	30000
925	17	40000
926	17	50000
927	17	60000
928	17	70000
929	17	80000
930	17	90000
931	17	100000
932	17	110000
933	17	120000
934	17	130000
935	17	140000
936	17	150000
937	17	160000
938	17	170000
939	17	180000
940	17	190000
941	17	200000
942	17	210000
943	17	220000
944	17	230000
945	17	240000
946	17	250000
947	17	260000
948	17	270000
949	17	280000
950	17	290000
951	17	300000
952	17	310000
953	17	320000
954	17	330000
955	17	340000
956	17	350000
957	17	360000
958	17	370000
959	17	380000
960	17	390000
961	17	400000
962	17	410000
963	17	420000
964	17	430000
965	17	440000
966	17	450000
967	17	460000
968	17	470000
969	17	480000
970	17	490000
971	17	500100
